gene	experiment	cloneid
PBANKA_070650	met12	PbGEM-021205
PBANKA_080270	met12	PbGEM-023735
PBANKA_080450	met12	PbGEM-283290
PBANKA_080650	met12	#N/A!
PBANKA_080930	met12	PbGEM-090635
PBANKA_081240	met12	#N/A!
PBANKA_082520	met12	PbGEM-026648
PBANKA_090930	met12	PbGEM-237538
PBANKA_092370	met12	PbGEM-093915
PBANKA_092810	met12	PbGEM-031990
PBANKA_100270	met12	PbGEM-034647
PBANKA_100650	met12	PbGEM-244127
PBANKA_101010	met12	PbGEM-262740
PBANKA_103110	met12	PbGEM-097373
PBANKA_103440	met12	PbGEM-039254
PBANKA_103780	met12	PbGEM-097822
PBANKA_110400	met12	PbGEM-245127
PBANKA_110420	met12	PbGEM-122074
PBANKA_110650	met12	#N/A!
PBANKA_110710	met12	PbGEM-122082
PBANKA_111810	met12	PbGEM-042605
PBANKA_113770	met12	PbGEM-045359
PBANKA_120800	met12	PbGEM-101938
PBANKA_124340	met12	PbGEM-309297
PBANKA_130380	met12	PbGEM-053579
PBANKA_130740	met12	PbGEM-248987
PBANKA_131750	met12	PbGEM-105499
PBANKA_133040	met12	PbGEM-106571
PBANKA_133060	met12	PbGEM-106603
PBANKA_134000	met12	PbGEM-107204
PBANKA_134400	met12	PbGEM-107445
PBANKA_135080	met12	PbGEM-107959
PBANKA_135200	met12	PbGEM-108060
PBANKA_136000	met12	PbGEM-108701
PBANKA_140160	met12	PbGEM-062476
PBANKA_141030	met12	PbGEM-109859
PBANKA_141910	met12	PbGEM-110413
PBANKA_142220	met12	PbGEM-065359
PBANKA_142720	met12	PbGEM-066047
PBANKA_143420	met12	PbGEM-067050
PBANKA_144000	met12	PbGEM-067943
PBANKA_144160	met12	PbGEM-079665
PBANKA_145050	met12	#N/A!
PBANKA_145600	met12	PbGEM-080660
PBANKA_020310	met13	PbGEM-341676
PBANKA_021150	met13	#N/A!
PBANKA_021360	met13	PbGEM-341756
PBANKA_030270	met13	PbGEM-328403
PBANKA_031190	met13	PbGEM-341812
PBANKA_040220	met13	PbGEM-341828
PBANKA_041680	met13	PbGEM-341884
PBANKA_041770	met13	PbGEM-341892
PBANKA_050170	met13	PbGEM-341900
PBANKA_051490	met13	PbGEM-015545
PBANKA_051500	met13	PbGEM-015561
PBANKA_051850	met13	PbGEM-232621
PBANKA_052000	met13	PbGEM-341956
PBANKA_070290	met13	PbGEM-342028
PBANKA_080230	met13	PbGEM-342084
PBANKA_081420	met13	PbGEM-342108
PBANKA_081490	met13	PbGEM-342116
PBANKA_081600	met13	PbGEM-342124
PBANKA_081680	met13	PbGEM-238655
PBANKA_082380	met13	PbGEM-342140
PBANKA_083440	met13	PbGEM-342156
PBANKA_090210	met13	PbGEM-342172
PBANKA_091950	met13	PbGEM-240110
PBANKA_092010	met13	PbGEM-342244
PBANKA_092520	met13	PbGEM-342276
PBANKA_092870	met13	PbGEM-342300
PBANKA_093090	met13	PbGEM-342316
PBANKA_093150	met13	PbGEM-342324
PBANKA_093740	met13	PbGEM-342356
PBANKA_094010	met13	PbGEM-342364
PBANKA_094190	met13	PbGEM-292264
PBANKA_100140	met13	PbGEM-342372
PBANKA_101380	met13	PbGEM-342436
PBANKA_101770	met13	PbGEM-294798
PBANKA_102260	met13	PbGEM-342468
PBANKA_102430	met13	PbGEM-342476
PBANKA_102880	met13	PbGEM-342492
PBANKA_102980	met13	PbGEM-342508
PBANKA_103440	met13	PbGEM-039254
PBANKA_103780	met13	PbGEM-097822
PBANKA_103820	met13	PbGEM-342532
PBANKA_110420	met13	PbGEM-122074
PBANKA_110490	met13	PbGEM-342556
PBANKA_110800	met13	PbGEM-342572
PBANKA_111630	met13	PbGEM-342604
PBANKA_111860	met13	PbGEM-342628
PBANKA_112670	met13	PbGEM-342636
PBANKA_112910	met13	PbGEM-342644
PBANKA_113180	met13	PbGEM-342668
PBANKA_113420	met13	PbGEM-342684
PBANKA_113670	met13	PbGEM-342700
PBANKA_113700	met13	PbGEM-342708
PBANKA_113840	met13	PbGEM-342716
PBANKA_114060	met13	PbGEM-342740
PBANKA_114340	met13	PbGEM-342764
PBANKA_121040	met13	PbGEM-342804
PBANKA_121420	met13	PbGEM-342820
PBANKA_121650	met13	PbGEM-342844
PBANKA_122250	met13	PbGEM-342868
PBANKA_122310	met13	PbGEM-342884
PBANKA_122470	met13	PbGEM-342892
PBANKA_123400	met13	PbGEM-342924
PBANKA_124210	met13	PbGEM-342956
PBANKA_124450	met13	PbGEM-309473
PBANKA_130370	met13	PbGEM-342980
PBANKA_131840	met13	PbGEM-343028
PBANKA_131920	met13	PbGEM-343044
PBANKA_132360	met13	PbGEM-343052
PBANKA_132640	met13	PbGEM-343060
PBANKA_134300	met13	PbGEM-343124
PBANKA_134430	met13	PbGEM-343132
PBANKA_134720	met13	PbGEM-343156
PBANKA_135660	met13	PbGEM-343188
PBANKA_135970	met13	PbGEM-343204
PBANKA_140160	met13	PbGEM-062476
PBANKA_141470	met13	PbGEM-343260
PBANKA_141780	met13	PbGEM-343268
PBANKA_141840	met13	PbGEM-343276
PBANKA_142530	met13	PbGEM-343316
PBANKA_142960	met13	PbGEM-343340
PBANKA_143610	met13	PbGEM-343364
PBANKA_143890	met13	PbGEM-257581
PBANKA_144770	met13	PbGEM-343380
PBANKA_145010	met13	PbGEM-343388
PBANKA_145920	met13	PbGEM-343452
PBANKA_146220	met13	PbGEM-343468
PBANKA_010200	met14	PbGEM-341612
PBANKA_010460	met14	PbGEM-005714
PBANKA_020720	met14	PbGEM-341692
PBANKA_021040	met14	PbGEM-341716
PBANKA_021130	met14	PbGEM-341732
PBANKA_021150	met14	PbGEM-341740
PBANKA_021350	met14	PbGEM-008508
PBANKA_030430	met14	PbGEM-228093
PBANKA_030460	met14	PbGEM-265332
PBANKA_030850	met14	PbGEM-228946
PBANKA_031270	met14	PbGEM-229846
PBANKA_031380	met14	PbGEM-341820
PBANKA_040680	met14	PbGEM-341852
PBANKA_040740	met14	PbGEM-229557
PBANKA_040930	met14	PbGEM-341860
PBANKA_050230	met14	PbGEM-341908
PBANKA_050740	met14	PbGEM-341940
PBANKA_050810	met14	PbGEM-341948
PBANKA_051490	met14	PbGEM-015545
PBANKA_051500	met14	PbGEM-015561
PBANKA_060480	met14	PbGEM-341988
PBANKA_061580	met14	PbGEM-019212
PBANKA_070210	met14	PbGEM-343476
PBANKA_070270	met14	PbGEM-342020
PBANKA_070450	met14	PbGEM-342036
PBANKA_070950	met14	PbGEM-342044
PBANKA_071400	met14	PbGEM-022265
PBANKA_071650	met14	PbGEM-282066
PBANKA_080430	met14	PbGEM-235933
PBANKA_080560	met14	PbGEM-236212
PBANKA_080590	met14	PbGEM-236279
PBANKA_080620	met14	PbGEM-342092
PBANKA_080700	met14	PbGEM-342100
PBANKA_080800	met14	PbGEM-236773
PBANKA_081900	met14	PbGEM-239275
PBANKA_082450	met14	PbGEM-091576
PBANKA_082690	met14	PbGEM-259660
PBANKA_082800	met14	PbGEM-091835
PBANKA_083190	met14	PbGEM-027597
PBANKA_090410	met14	PbGEM-092737
PBANKA_090950	met14	PbGEM-342188
PBANKA_091270	met14	PbGEM-342196
PBANKA_092700	met14	PbGEM-241597
PBANKA_093860	met14	PbGEM-240960
PBANKA_100160	met14	PbGEM-342380
PBANKA_100950	met14	PbGEM-342396
PBANKA_101020	met14	PbGEM-342404
PBANKA_101080	met14	PbGEM-342412
PBANKA_101330	met14	PbGEM-036210
PBANKA_101700	met14	PbGEM-036774
PBANKA_101980	met14	PbGEM-263460
PBANKA_103440	met14	PbGEM-039254
PBANKA_103680	met14	PbGEM-243303
PBANKA_103780	met14	PbGEM-097822
PBANKA_110360	met14	PbGEM-342548
PBANKA_110420	met14	PbGEM-122074
PBANKA_110540	met14	PbGEM-245477
PBANKA_110730	met14	PbGEM-246119
PBANKA_110810	met14	PbGEM-342580
PBANKA_111080	met14	PbGEM-041570
PBANKA_112270	met14	PbGEM-246785
PBANKA_112970	met14	PbGEM-100020
PBANKA_121030	met14	PbGEM-342796
PBANKA_121240	met14	PbGEM-247010
PBANKA_121400	met14	PbGEM-342812
PBANKA_122770	met14	PbGEM-252597
PBANKA_124300	met14	PbGEM-261876
PBANKA_130280	met14	PbGEM-342972
PBANKA_130680	met14	PbGEM-248737
PBANKA_130860	met14	PbGEM-249472
PBANKA_130970	met14	PbGEM-311255
PBANKA_131070	met14	PbGEM-342996
PBANKA_131510	met14	PbGEM-055230
PBANKA_132800	met14	PbGEM-056925
PBANKA_134380	met14	PbGEM-059126
PBANKA_135090	met14	PbGEM-250625
PBANKA_135960	met14	PbGEM-061442
PBANKA_140160	met14	PbGEM-062476
PBANKA_140170	met14	PbGEM-343220
PBANKA_140410	met14	PbGEM-062848
PBANKA_140480	met14	PbGEM-109406
PBANKA_140800	met14	PbGEM-343228
PBANKA_140910	met14	PbGEM-109737
PBANKA_141000	met14	PbGEM-343236
PBANKA_141360	met14	PbGEM-064151
PBANKA_142090	met14	PbGEM-065186
PBANKA_142160	met14	PbGEM-110533
PBANKA_143750	met14	PbGEM-340307
PBANKA_144540	met14	PbGEM-258596
PBANKA_146070	met14	PbGEM-258996
PBANKA_051520	met15	PbGEM-086151
PBANKA_052050	met15	PbGEM-086609
PBANKA_060280	met15	PbGEM-017355
PBANKA_071200	met15	PbGEM-111882
PBANKA_080320	met15	PbGEM-090247
PBANKA_082490	met15	PbGEM-026600
PBANKA_083110	met15	PbGEM-286154
PBANKA_091870	met15	PbGEM-030788
PBANKA_092180	met15	PbGEM-031109
PBANKA_093020	met15	PbGEM-112473
PBANKA_100240	met15	PbGEM-034599
PBANKA_101710	met15	PbGEM-096468
PBANKA_101750	met15	PbGEM-096504
PBANKA_103320	met15	PbGEM-097527
PBANKA_110510	met15	PbGEM-098382
PBANKA_110940	met15	PbGEM-098706
PBANKA_111380	met15	PbGEM-042008
PBANKA_111490	met15	PbGEM-098975
PBANKA_112810	met15	PbGEM-099883
PBANKA_121190	met15	PbGEM-102240
PBANKA_141460	met15	PbGEM-064297
PBANKA_142310	met15	PbGEM-065482
PBANKA_010130	met2	PbGEM-081231
PBANKA_011010	met2	PbGEM-081763
PBANKA_020330	met2	PbGEM-007091
PBANKA_021020	met2	PbGEM-082529
PBANKA_021140	met2	PbGEM-082644
PBANKA_030510	met2	PbGEM-083189
PBANKA_030860	met2	PbGEM-083434
PBANKA_030980	met2	PbGEM-083560
PBANKA_031240	met2	PbGEM-083773
PBANKA_031500	met2	PbGEM-010777
PBANKA_031590	met2	PbGEM-010877
PBANKA_040190	met2	PbGEM-084099
PBANKA_040760	met2	PbGEM-084472
PBANKA_041030	met2	PbGEM-012274
PBANKA_050260	met2	PbGEM-013799
PBANKA_050500	met2	PbGEM-085541
PBANKA_050700	met2	PbGEM-085651
PBANKA_051220	met2	PbGEM-015197
PBANKA_051490	met2	PbGEM-015545
PBANKA_051500	met2	PbGEM-015561
PBANKA_051670	met2	PbGEM-086260
PBANKA_051760	met2	PbGEM-086320
PBANKA_060100	met2	PbGEM-017095
PBANKA_060350	met2	PbGEM-017450
PBANKA_060520	met2	PbGEM-087102
PBANKA_061040	met2	PbGEM-087402
PBANKA_061110	met2	PbGEM-087458
PBANKA_061160	met2	PbGEM-087493
PBANKA_061430	met2	PbGEM-018972
PBANKA_061540	met2	PbGEM-087828
PBANKA_061880	met2	PbGEM-019636
PBANKA_070250	met2	PbGEM-088659
PBANKA_070410	met2	PbGEM-088775
PBANKA_070700	met2	PbGEM-088924
PBANKA_071010	met2	PbGEM-021746
PBANKA_071760	met2	PbGEM-089700
PBANKA_080260	met2	PbGEM-023719
PBANKA_080630	met2	PbGEM-090491
PBANKA_080650	met2	PbGEM-090509
PBANKA_080930	met2	PbGEM-090635
PBANKA_081060	met2	PbGEM-024795
PBANKA_081210	met2	PbGEM-090803
PBANKA_082170	met2	PbGEM-091380
PBANKA_082350	met2	PbGEM-026453
PBANKA_082520	met2	PbGEM-026648
PBANKA_082750	met2	PbGEM-026953
PBANKA_090140	met2	PbGEM-092506
PBANKA_090160	met2	PbGEM-092538
PBANKA_091020	met2	PbGEM-029668
PBANKA_091790	met2	PbGEM-093561
PBANKA_091820	met2	PbGEM-093581
PBANKA_092110	met2	PbGEM-093744
PBANKA_092370	met2	PbGEM-093915
PBANKA_092980	met2	PbGEM-094275
PBANKA_093140	met2	PbGEM-094412
PBANKA_093850	met2	PbGEM-033491
PBANKA_093960	met2	PbGEM-094941
PBANKA_094290	met2	PbGEM-034097
PBANKA_100270	met2	PbGEM-034647
PBANKA_100480	met2	#N/A!
PBANKA_100880	met2	PbGEM-095910
PBANKA_101400	met2	PbGEM-096343
PBANKA_101620	met2	PbGEM-036667
PBANKA_101840	met2	#N/A!
PBANKA_102010	met2	PbGEM-096670
PBANKA_102340	met2	PbGEM-096918
PBANKA_102520	met2	PbGEM-097010
PBANKA_103260	met2	PbGEM-038966
PBANKA_103440	met2	PbGEM-039254
PBANKA_103780	met2	PbGEM-097822
PBANKA_110420	met2	PbGEM-122074
PBANKA_110650	met2	PbGEM-098459
PBANKA_110920	met2	PbGEM-098688
PBANKA_111100	met2	PbGEM-098813
PBANKA_111370	met2	PbGEM-041992
PBANKA_111810	met2	PbGEM-042605
PBANKA_112290	met2	PbGEM-099513
PBANKA_112450	met2	PbGEM-099615
PBANKA_113770	met2	PbGEM-045359
PBANKA_113970	met2	PbGEM-100801
PBANKA_114130	met2	PbGEM-100931
PBANKA_114240	met2	PbGEM-100993
PBANKA_114360	met2	PbGEM-101136
PBANKA_120640	met2	PbGEM-101822
PBANKA_120800	met2	PbGEM-101938
PBANKA_121340	met2	PbGEM-048328
PBANKA_121370	met2	PbGEM-048376
PBANKA_122030	met2	PbGEM-102772
PBANKA_122840	met2	PbGEM-103204
PBANKA_123150	met2	PbGEM-050934
PBANKA_123310	met2	PbGEM-051134
PBANKA_130260	met2	PbGEM-053387
PBANKA_130620	met2	PbGEM-053942
PBANKA_131460	met2	PbGEM-055150
PBANKA_131750	met2	PbGEM-105499
PBANKA_131810	met2	PbGEM-105546
PBANKA_132970	met2	PbGEM-106501
PBANKA_133040	met2	PbGEM-106571
PBANKA_133060	met2	PbGEM-106603
PBANKA_134000	met2	PbGEM-107204
PBANKA_134400	met2	PbGEM-107445
PBANKA_134660	met2	PbGEM-059567
PBANKA_135080	met2	PbGEM-107959
PBANKA_135200	met2	PbGEM-108060
PBANKA_135470	met2	PbGEM-108296
PBANKA_135590	met2	PbGEM-108369
PBANKA_135620	met2	PbGEM-108389
PBANKA_135770	met2	PbGEM-108459
PBANKA_135860	met2	PbGEM-108540
PBANKA_136000	met2	PbGEM-108701
PBANKA_136050	met2	PbGEM-108739
PBANKA_136200	met2	PbGEM-108832
PBANKA_140160	met2	PbGEM-062476
PBANKA_140490	met2	PbGEM-062962
PBANKA_140550	met2	PbGEM-109462
PBANKA_140670	met2	PbGEM-063222
PBANKA_140810	met2	PbGEM-109598
PBANKA_141030	met2	PbGEM-109859
PBANKA_141310	met2	PbGEM-064078
PBANKA_141510	met2	PbGEM-110144
PBANKA_141910	met2	PbGEM-110413
PBANKA_142270	met2	PbGEM-065418
PBANKA_142700	met2	PbGEM-066015
PBANKA_142880	met2	PbGEM-111006
PBANKA_142970	met2	PbGEM-111101
PBANKA_143080	met2	PbGEM-111172
PBANKA_143830	met2	PbGEM-079417
PBANKA_143950	met2	PbGEM-067863
PBANKA_144000	met2	PbGEM-067943
PBANKA_144160	met2	PbGEM-079665
PBANKA_144850	met2	PbGEM-080062
PBANKA_145330	met2	PbGEM-069893
PBANKA_145600	met2	PbGEM-080660
PBANKA_146030	met2	PbGEM-080872
PBANKA_146280	met2	PbGEM-080987
PBANKA_020970	met3	PbGEM-082477
PBANKA_021190	met3	PbGEM-226941
PBANKA_030240	met3	PbGEM-083023
PBANKA_031000	met3	PbGEM-229258
PBANKA_031180	met3	PbGEM-083698
PBANKA_031250	met3	PbGEM-229775
PBANKA_031540	met3	PbGEM-230276
PBANKA_040160	met3	PbGEM-230638
PBANKA_041170	met3	PbGEM-230293
PBANKA_050570	met3	PbGEM-230776
PBANKA_050650	met3	PbGEM-230925
PBANKA_050690	met3	PbGEM-230990
PBANKA_051400	met3	PbGEM-231887
PBANKA_051490	met3	PbGEM-015545
PBANKA_051500	met3	PbGEM-015561
PBANKA_051780	met3	PbGEM-232532
PBANKA_061100	met3	PbGEM-233650
PBANKA_070900	met3	PbGEM-234649
PBANKA_072060	met3	PbGEM-236973
PBANKA_080570	met3	PbGEM-236235
PBANKA_082030	met3	PbGEM-239637
PBANKA_083100	met3	PbGEM-259972
PBANKA_091380	met3	PbGEM-093267
PBANKA_092150	met3	PbGEM-240466
PBANKA_093250	met3	PbGEM-239468
PBANKA_093980	met3	PbGEM-241174
PBANKA_094020	met3	PbGEM-241251
PBANKA_101520	met3	PbGEM-263108
PBANKA_101640	met3	PbGEM-263196
PBANKA_103110	met3	PbGEM-097373
PBANKA_103360	met3	PbGEM-242532
PBANKA_103410	met3	PbGEM-242674
PBANKA_103440	met3	PbGEM-039254
PBANKA_103780	met3	PbGEM-097822
PBANKA_103830	met3	PbGEM-243678
PBANKA_110300	met3	PbGEM-244820
PBANKA_110420	met3	PbGEM-122074
PBANKA_110480	met3	PbGEM-245297
PBANKA_111190	met3	PbGEM-243555
PBANKA_111470	met3	PbGEM-244426
PBANKA_112110	met3	PbGEM-246288
PBANKA_112210	met3	PbGEM-246569
PBANKA_112610	met3	PbGEM-247646
PBANKA_112640	met3	PbGEM-247776
PBANKA_113200	met3	PbGEM-245029
PBANKA_113720	met3	PbGEM-246799
PBANKA_114490	met3	PbGEM-248982
PBANKA_120750	met3	PbGEM-245517
PBANKA_121010	met3	PbGEM-246270
PBANKA_121840	met3	PbGEM-248852
PBANKA_123000	met3	PbGEM-260988
PBANKA_123140	met3	PbGEM-261084
PBANKA_123490	met3	PbGEM-261356
PBANKA_123780	met3	PbGEM-261532
PBANKA_123820	met3	PbGEM-261556
PBANKA_124180	met3	PbGEM-261796
PBANKA_130360	met3	PbGEM-262428
PBANKA_130740	met3	PbGEM-248987
PBANKA_131400	met3	PbGEM-251416
