barseq,gene,cloneid
barseq_0001,PBANKA_102230,PbGEM-037559
barseq_0001,PBANKA_102590,
barseq_0001,PBANKA_103000,PbGEM-038613
barseq_0001,PBANKA_103340,PbGEM-039094
barseq_0001,PBANKA_103560,PbGEM-039446
barseq_0001,PBANKA_111180,PbGEM-041695
barseq_0001,PBANKA_111300,PbGEM-041880
barseq_0001,PBANKA_111330,PbGEM-041928
barseq_0001,PBANKA_112020,PbGEM-042878
barseq_0001,PBANKA_112190,PbGEM-043101
barseq_0001,PBANKA_112240,PbGEM-043181
barseq_0001,PBANKA_112280,PbGEM-043245
barseq_0001,PBANKA_112360,PbGEM-043373
barseq_0001,PBANKA_112420,PbGEM-043455
barseq_0001,PBANKA_112490,PbGEM-043567
barseq_0001,PBANKA_112510,PbGEM-043599
barseq_0001,PBANKA_112560,PbGEM-043672
barseq_0001,PBANKA_112620,PbGEM-043765
barseq_0001,PBANKA_113430,PbGEM-044843
barseq_0001,PBANKA_121100,PbGEM-047958
barseq_0001,PBANKA_121620,PbGEM-048678
barseq_0001,PBANKA_121730,PbGEM-048854
barseq_0001,PBANKA_121800,PbGEM-048959
barseq_0001,PBANKA_122010,PbGEM-049260
barseq_0001,PBANKA_122100,PbGEM-049404
barseq_0001,PBANKA_122580,PbGEM-050127
barseq_0001,PBANKA_123230,PbGEM-051034
barseq_0001,PBANKA_124200,PbGEM-052290
barseq_0001,PBANKA_130380,PbGEM-053579
barseq_0001,PBANKA_130890,PbGEM-054353
barseq_0001,PBANKA_131720,PbGEM-055524
barseq_0001,PBANKA_132810,PbGEM-056941
barseq_0001,PBANKA_132910,PbGEM-057101
barseq_0001,PBANKA_132950,PbGEM-057165
barseq_0001,PBANKA_133410,PbGEM-057754
barseq_0001,PBANKA_133560,PbGEM-057987
barseq_0001,PBANKA_133580,PbGEM-058012
barseq_0001,PBANKA_134040,PbGEM-058661
barseq_0001,PBANKA_134280,PbGEM-058996
barseq_0001,PBANKA_134620,PbGEM-059503
barseq_0001,PBANKA_135520,PbGEM-060754
barseq_0001,PBANKA_136190,PbGEM-061754
barseq_0001,PBANKA_140340,PbGEM-062743
barseq_0001,PBANKA_140510,PbGEM-062994
barseq_0001,PBANKA_140610,PbGEM-063126
barseq_0001,PBANKA_141050,PbGEM-063795
barseq_0001,PBANKA_142370,PbGEM-065557
barseq_0001,PBANKA_142670,PbGEM-065967
barseq_0001,PBANKA_143420,PbGEM-067050
barseq_0001,PBANKA_143480,PbGEM-067146
barseq_0001,PBANKA_144260,PbGEM-068335
barseq_0001,PBANKA_144530,PbGEM-068725
barseq_0001,PBANKA_144890,PbGEM-069252
barseq_0001,PBANKA_145440,PbGEM-070062
barseq_0001,PBANKA_146060,PbGEM-071005
,,
,av refs,
barseq_0002,p230p-tag,PbGEM-226060
barseq_0002,PBANKA_051490,PbGEM-015545
barseq_0002,PBANKA_051500,PbGEM-015561
barseq_0002,PBANKA_103780,PbGEM-097822
barseq_0002,PBANKA_103440,PbGEM-039254
barseq_0002,PBANKA_110420,PbGEM-122074
barseq_0002,PBANKA_140160,PbGEM-062476
barseq_0002,PBANKA_010130,PbGEM-081231
barseq_0002,PBANKA_010710,
barseq_0002,PBANKA_011010,PbGEM-081763
barseq_0002,PBANKA_020330,PbGEM-007091
barseq_0002,PBANKA_021020,PbGEM-082529
barseq_0002,PBANKA_021140,PbGEM-082644
barseq_0002,PBANKA_030510,PbGEM-083189
barseq_0002,PBANKA_030860,PbGEM-083434
barseq_0002,PBANKA_030980,PbGEM-083560
barseq_0002,PBANKA_031240,PbGEM-083773
barseq_0002,PBANKA_031500,PbGEM-010777
barseq_0002,PBANKA_031590,PbGEM-010877
barseq_0002,PBANKA_040190,PbGEM-084099
barseq_0002,PBANKA_040760,PbGEM-084472
barseq_0002,PBANKA_041030,PbGEM-012274
barseq_0002,PBANKA_050260,PbGEM-013799
barseq_0002,PBANKA_050500,PbGEM-085541
barseq_0002,PBANKA_050700,PbGEM-085651
barseq_0002,PBANKA_051220,PbGEM-015197
barseq_0002,PBANKA_051670,PbGEM-086260
barseq_0002,PBANKA_051760,PbGEM-086320
barseq_0002,PBANKA_060100,PbGEM-017095
barseq_0002,PBANKA_060350,PbGEM-017450
barseq_0002,PBANKA_060520,PbGEM-087102
barseq_0002,PBANKA_061040,PbGEM-087402
barseq_0002,PBANKA_061110,PbGEM-087458
barseq_0002,PBANKA_061160,PbGEM-087493
barseq_0002,PBANKA_061430,PbGEM-018972
barseq_0002,PBANKA_061540,PbGEM-087828
barseq_0002,PBANKA_061880,PbGEM-019636
barseq_0002,PBANKA_070250,PbGEM-088659
barseq_0002,PBANKA_070410,PbGEM-088775
barseq_0002,PBANKA_070700,PbGEM-088924
barseq_0002,PBANKA_071010,PbGEM-021746
barseq_0002,PBANKA_071760,PbGEM-089700
barseq_0002,PBANKA_072050,
barseq_0002,PBANKA_080260,PbGEM-023719
barseq_0002,PBANKA_080630,PbGEM-090491
barseq_0002,PBANKA_080650,PbGEM-090509
barseq_0002,PBANKA_080930,PbGEM-090635
barseq_0002,PBANKA_081060,PbGEM-024795
barseq_0002,PBANKA_081210,PbGEM-090803
barseq_0002,PBANKA_082170,PbGEM-091380
barseq_0002,PBANKA_082350,PbGEM-026453
barseq_0002,PBANKA_082520,PbGEM-026648
barseq_0002,PBANKA_082750,PbGEM-026953
barseq_0002,PBANKA_090140,PbGEM-092506
barseq_0002,PBANKA_090160,PbGEM-092538
barseq_0002,PBANKA_091020,PbGEM-029668
barseq_0002,PBANKA_091790,PbGEM-093561
barseq_0002,PBANKA_091820,PbGEM-093581
barseq_0002,PBANKA_092110,PbGEM-093744
barseq_0002,PBANKA_092370,PbGEM-093915
barseq_0002,PBANKA_092980,PbGEM-094275
barseq_0002,PBANKA_093140,PbGEM-094412
barseq_0002,PBANKA_093450,
barseq_0002,PBANKA_093850,PbGEM-033491
barseq_0002,PBANKA_093960,PbGEM-094941
barseq_0002,PBANKA_094290,PbGEM-034097
barseq_0002,PBANKA_100270,PbGEM-034647
barseq_0002,PBANKA_100480,
barseq_0002,PBANKA_100880,PbGEM-095910
barseq_0002,PBANKA_101400,PbGEM-096343
barseq_0002,PBANKA_101620,PbGEM-036667
barseq_0002,PBANKA_101840,
barseq_0002,PBANKA_102010,PbGEM-096670
barseq_0002,PBANKA_102340,PbGEM-096918
barseq_0002,PBANKA_102520,PbGEM-097010
barseq_0002,PBANKA_103260,PbGEM-038966
barseq_0002,PBANKA_110650,PbGEM-098459
barseq_0002,PBANKA_110920,PbGEM-098688
barseq_0002,PBANKA_111100,PbGEM-098813
barseq_0002,PBANKA_111370,PbGEM-041992
barseq_0002,PBANKA_111810,PbGEM-042605
barseq_0002,PBANKA_112290,PbGEM-099513
barseq_0002,PBANKA_112450,PbGEM-099615
barseq_0002,PBANKA_113770,PbGEM-045359
barseq_0002,PBANKA_113970,PbGEM-100801
barseq_0002,PBANKA_114130,PbGEM-100931
barseq_0002,PBANKA_114240,PbGEM-100993
barseq_0002,PBANKA_114360,PbGEM-101136
barseq_0002,PBANKA_120640,PbGEM-101822
barseq_0002,PBANKA_120800,PbGEM-101938
barseq_0002,PBANKA_121340,PbGEM-048328
barseq_0002,PBANKA_121370,PbGEM-048376
barseq_0002,PBANKA_122030,PbGEM-102772
barseq_0002,PBANKA_122840,PbGEM-103204
barseq_0002,PBANKA_123150,PbGEM-050934
barseq_0002,PBANKA_123310,PbGEM-051134
barseq_0002,PBANKA_130260,PbGEM-053387
barseq_0002,PBANKA_130620,PbGEM-053942
barseq_0002,PBANKA_131460,PbGEM-055150
barseq_0002,PBANKA_131750,PbGEM-105499
barseq_0002,PBANKA_131810,PbGEM-105546
barseq_0002,PBANKA_132970,PbGEM-106501
barseq_0002,PBANKA_133040,PbGEM-106571
barseq_0002,PBANKA_133060,PbGEM-106603
barseq_0002,PBANKA_134000,PbGEM-107204
barseq_0002,PBANKA_134400,PbGEM-107445
barseq_0002,PBANKA_134660,PbGEM-059567
barseq_0002,PBANKA_135080,PbGEM-107959
barseq_0002,PBANKA_135200,PbGEM-108060
barseq_0002,PBANKA_135470,PbGEM-108296
barseq_0002,PBANKA_135590,PbGEM-108369
barseq_0002,PBANKA_135620,PbGEM-108389
barseq_0002,PBANKA_135770,PbGEM-108459
barseq_0002,PBANKA_135860,PbGEM-108540
barseq_0002,PBANKA_136000,PbGEM-108701
barseq_0002,PBANKA_136050,PbGEM-108739
barseq_0002,PBANKA_136200,PbGEM-108832
barseq_0002,PBANKA_140490,PbGEM-062962
barseq_0002,PBANKA_140550,PbGEM-109462
barseq_0002,PBANKA_140670,PbGEM-063222
barseq_0002,PBANKA_140810,PbGEM-109598
barseq_0002,PBANKA_141030,PbGEM-109859
barseq_0002,PBANKA_141310,PbGEM-064078
barseq_0002,PBANKA_141510,PbGEM-110144
barseq_0002,PBANKA_141910,PbGEM-110413
barseq_0002,PBANKA_142270,PbGEM-065418
barseq_0002,PBANKA_142700,PbGEM-066015
barseq_0002,PBANKA_142880,PbGEM-111006
barseq_0002,PBANKA_142970,PbGEM-111101
barseq_0002,PBANKA_143080,PbGEM-111172
barseq_0002,PBANKA_143830,PbGEM-079417
barseq_0002,PBANKA_143950,PbGEM-067863
barseq_0002,PBANKA_144000,PbGEM-067943
barseq_0002,PBANKA_144160,PbGEM-079665
barseq_0002,PBANKA_144850,PbGEM-080062
barseq_0002,PBANKA_145330,PbGEM-069893
barseq_0002,PBANKA_145600,PbGEM-080660
barseq_0002,PBANKA_146030,PbGEM-080872
barseq_0002,PBANKA_146280,PbGEM-080987
,,
,av refs,
barseq_0003,p230p-tag,PbGEM-226060
barseq_0003,PBANKA_051490,PbGEM-015545
barseq_0003,PBANKA_051500,PbGEM-015561
barseq_0003,PBANKA_103780,PbGEM-097822
barseq_0003,PBANKA_103440,PbGEM-039254
barseq_0003,PBANKA_110420,PbGEM-122074
barseq_0003,PBANKA_140160,PbGEM-062476
barseq_0003,PBANKA_020970,PbGEM-082477
barseq_0003,PBANKA_021190,PbGEM-226941
barseq_0003,PBANKA_030240,PbGEM-083023
barseq_0003,PBANKA_031000,PbGEM-229258
barseq_0003,PBANKA_031180,PbGEM-083698
barseq_0003,PBANKA_031250,PbGEM-229775
barseq_0003,PBANKA_031540,PbGEM-230276
barseq_0003,PBANKA_040160,PbGEM-230638
barseq_0003,PBANKA_041170,PbGEM-230293
barseq_0003,PBANKA_050570,PbGEM-230776
barseq_0003,PBANKA_050650,PbGEM-230925
barseq_0003,PBANKA_050690,PbGEM-230990
barseq_0003,PBANKA_051400,PbGEM-231887
barseq_0003,PBANKA_051780,PbGEM-232532
barseq_0003,PBANKA_061100,PbGEM-233650
barseq_0003,PBANKA_070900,PbGEM-234649
barseq_0003,PBANKA_072060,PbGEM-236973
barseq_0003,PBANKA_080570,PbGEM-236235
barseq_0003,PBANKA_082030,PbGEM-239637
barseq_0003,PBANKA_083100,PbGEM-259972
barseq_0003,PBANKA_091380,PbGEM-093267
barseq_0003,PBANKA_092150,PbGEM-240466
barseq_0003,PBANKA_093250,PbGEM-239468
barseq_0003,PBANKA_093980,PbGEM-241174
barseq_0003,PBANKA_094020,PbGEM-241251
barseq_0003,PBANKA_101520,PbGEM-263108
barseq_0003,PBANKA_101640,PbGEM-263196
barseq_0003,PBANKA_103110,PbGEM-097373
barseq_0003,PBANKA_103360,PbGEM-242532
barseq_0003,PBANKA_103410,PbGEM-242674
barseq_0003,PBANKA_103830,PbGEM-243678
barseq_0003,PBANKA_110300,PbGEM-244820
barseq_0003,PBANKA_110480,PbGEM-245297
barseq_0003,PBANKA_110860,PbGEM-246508
barseq_0003,PBANKA_111190,PbGEM-243555
barseq_0003,PBANKA_111470,PbGEM-244426
barseq_0003,PBANKA_112110,PbGEM-246288
barseq_0003,PBANKA_112210,PbGEM-246569
barseq_0003,PBANKA_112610,PbGEM-247646
barseq_0003,PBANKA_112640,PbGEM-247776
barseq_0003,PBANKA_113200,PbGEM-245029
barseq_0003,PBANKA_113720,PbGEM-246799
barseq_0003,PBANKA_114490,PbGEM-248982
barseq_0003,PBANKA_120750,PbGEM-245517
barseq_0003,PBANKA_121010,PbGEM-246270
barseq_0003,PBANKA_121840,PbGEM-248852
barseq_0003,PBANKA_123000,PbGEM-260988
barseq_0003,PBANKA_123140,PbGEM-261084
barseq_0003,PBANKA_123490,PbGEM-261356
barseq_0003,PBANKA_123780,PbGEM-261532
barseq_0003,PBANKA_123820,PbGEM-261556
barseq_0003,PBANKA_124180,PbGEM-261796
barseq_0003,PBANKA_130360,PbGEM-262428
barseq_0003,PBANKA_130740,PbGEM-248987
barseq_0003,PBANKA_131400,PbGEM-251416
barseq_0003,PBANKA_131480,PbGEM-251753
barseq_0003,PBANKA_131820,PbGEM-253089
barseq_0003,PBANKA_132870,PbGEM-248453
barseq_0003,PBANKA_133180,PbGEM-249676
barseq_0003,PBANKA_133720,PbGEM-251670
barseq_0003,PBANKA_133990,PbGEM-252668
barseq_0003,PBANKA_134570,PbGEM-254751
barseq_0003,PBANKA_134800,PbGEM-249320
barseq_0003,PBANKA_140320,PbGEM-256763
barseq_0003,PBANKA_140980,PbGEM-109800
barseq_0003,PBANKA_142110,PbGEM-256982
barseq_0003,PBANKA_142780,PbGEM-110930
barseq_0003,PBANKA_142990,PbGEM-255423
barseq_0003,PBANKA_143100,PbGEM-111197
barseq_0003,PBANKA_143400,PbGEM-256341
barseq_0003,PBANKA_143620,PbGEM-257004
barseq_0003,PBANKA_143730,PbGEM-257275
barseq_0003,PBANKA_144490,PbGEM-258539
barseq_0003,PBANKA_144690,PbGEM-256413
barseq_0003,PBANKA_144980,PbGEM-257126
barseq_0003,PBANKA_145280,PbGEM-257812
,,
,av refs,
barseq_0004,p230p-tag,PbGEM-226060
barseq_0004,PBANKA_051490,PbGEM-015545
barseq_0004,PBANKA_051500,PbGEM-015561
barseq_0004,PBANKA_103780,PbGEM-097822
barseq_0004,PBANKA_103440,PbGEM-039254
barseq_0004,PBANKA_110420,PbGEM-122074
barseq_0004,PBANKA_140160,PbGEM-062476
barseq_0004,PBANKA_010120,PbGEM-226669
barseq_0004,PBANKA_010160,PbGEM-226701
barseq_0004,PBANKA_020650,PbGEM-228772
barseq_0004,PBANKA_020840,PbGEM-229220
barseq_0004,PBANKA_021230,PbGEM-227009
barseq_0004,PBANKA_030420,PbGEM-228077
barseq_0004,PBANKA_030570,PbGEM-228342
barseq_0004,PBANKA_030840,PbGEM-228889
barseq_0004,PBANKA_031520,PbGEM-230237
barseq_0004,PBANKA_031600,PbGEM-230365
barseq_0004,PBANKA_040150,PbGEM-230619
barseq_0004,PBANKA_040280,PbGEM-228523
barseq_0004,PBANKA_040460,PbGEM-228894
barseq_0004,PBANKA_040670,PbGEM-229398
barseq_0004,PBANKA_041010,PbGEM-230013
barseq_0004,PBANKA_041080,PbGEM-230154
barseq_0004,PBANKA_041690,PbGEM-231102
barseq_0004,PBANKA_051140,PbGEM-231569
barseq_0004,PBANKA_052100,PbGEM-233017
barseq_0004,PBANKA_060680,PbGEM-232814
barseq_0004,PBANKA_061060,PbGEM-233541
barseq_0004,PBANKA_061680,PbGEM-234694
barseq_0004,PBANKA_070370,PbGEM-233612
barseq_0004,PBANKA_071510,PbGEM-235843
barseq_0004,PBANKA_071670,PbGEM-236237
barseq_0004,PBANKA_071810,PbGEM-236470
barseq_0004,PBANKA_081110,PbGEM-237372
barseq_0004,PBANKA_081120,PbGEM-237397
barseq_0004,PBANKA_082000,PbGEM-239551
barseq_0004,PBANKA_082090,PbGEM-239778
barseq_0004,PBANKA_082230,PbGEM-259332
barseq_0004,PBANKA_082400,PbGEM-259444
barseq_0004,PBANKA_082620,PbGEM-259604
barseq_0004,PBANKA_082880,PbGEM-259804
barseq_0004,PBANKA_090390,PbGEM-260652
barseq_0004,PBANKA_091660,PbGEM-239300
barseq_0004,PBANKA_092290,PbGEM-240654
barseq_0004,PBANKA_092360,PbGEM-240798
barseq_0004,PBANKA_092490,PbGEM-240994
barseq_0004,PBANKA_093030,PbGEM-238826
barseq_0004,PBANKA_094180,PbGEM-241747
barseq_0004,PBANKA_094350,PbGEM-242212
barseq_0004,PBANKA_100550,PbGEM-243822
barseq_0004,PBANKA_100980,PbGEM-262716
barseq_0004,PBANKA_101010,PbGEM-262740
barseq_0004,PBANKA_101290,PbGEM-262932
barseq_0004,PBANKA_101490,PbGEM-263092
barseq_0004,PBANKA_101590,PbGEM-263156
barseq_0004,PBANKA_102650,PbGEM-263948
barseq_0004,PBANKA_103510,PbGEM-242902
barseq_0004,PBANKA_103640,PbGEM-243206
barseq_0004,PBANKA_103930,PbGEM-243939
barseq_0004,PBANKA_110840,PbGEM-246443
barseq_0004,PBANKA_111870,PbGEM-245479
barseq_0004,PBANKA_111910,PbGEM-245649
barseq_0004,PBANKA_113400,PbGEM-245767
barseq_0004,PBANKA_113550,PbGEM-246246
barseq_0004,PBANKA_113560,PbGEM-246281
barseq_0004,PBANKA_113950,PbGEM-247352
barseq_0004,PBANKA_114300,PbGEM-248285
barseq_0004,PBANKA_121690,PbGEM-248306
barseq_0004,PBANKA_121780,PbGEM-248604
barseq_0004,PBANKA_123250,PbGEM-261164
barseq_0004,PBANKA_123330,PbGEM-261228
barseq_0004,PBANKA_124460,PbGEM-261996
barseq_0004,PBANKA_131060,PbGEM-250295
barseq_0004,PBANKA_132630,PbGEM-247742
barseq_0004,PBANKA_132680,PbGEM-247938
barseq_0004,PBANKA_133710,PbGEM-251636
barseq_0004,PBANKA_133760,PbGEM-251952
barseq_0004,PBANKA_135180,PbGEM-250995
barseq_0004,PBANKA_135400,PbGEM-251774
barseq_0004,PBANKA_135690,PbGEM-253011
barseq_0004,PBANKA_135720,PbGEM-253069
barseq_0004,PBANKA_135810,PbGEM-253334
barseq_0004,PBANKA_135840,PbGEM-253402
barseq_0004,PBANKA_136260,PbGEM-254893
barseq_0004,PBANKA_140250,PbGEM-256566
barseq_0004,PBANKA_140580,PbGEM-252667
barseq_0004,PBANKA_141090,PbGEM-254268
barseq_0004,PBANKA_141130,PbGEM-254414
barseq_0004,PBANKA_142650,PbGEM-254121
barseq_0004,PBANKA_142750,PbGEM-254500
barseq_0004,PBANKA_144040,PbGEM-257908
barseq_0004,PBANKA_144410,PbGEM-258433
barseq_0004,PBANKA_145000,PbGEM-257165
barseq_0004,PBANKA_145730,PbGEM-258659
,,
,av refs,
barseq_0005,p230p-tag,PbGEM-226060
barseq_0005,PBANKA_051490,PbGEM-015545
barseq_0005,PBANKA_051500,PbGEM-015561
barseq_0005,PBANKA_103780,PbGEM-097822
barseq_0005,PBANKA_103440,PbGEM-039254
barseq_0005,PBANKA_110420,PbGEM-122074
barseq_0005,PBANKA_140160,PbGEM-062476
barseq_0005,PBANKA_010090,PbGEM-226645
barseq_0005,PBANKA_020590,PbGEM-228651
barseq_0005,PBANKA_030170,PbGEM-227680
barseq_0005,PBANKA_030360,PbGEM-228013
barseq_0005,PBANKA_031310,PbGEM-229966
barseq_0005,PBANKA_031470,PbGEM-230189
barseq_0005,PBANKA_040180,PbGEM-230686
barseq_0005,PBANKA_040650,PbGEM-229366
barseq_0005,PBANKA_041820,PbGEM-231324
barseq_0005,PBANKA_051535,PbGEM-232086
barseq_0005,PBANKA_051660,PbGEM-232294
barseq_0005,PBANKA_052040,PbGEM-232916
barseq_0005,PBANKA_052180,PbGEM-233197
barseq_0005,PBANKA_061360,PbGEM-234174
barseq_0005,PBANKA_061500,PbGEM-234414
barseq_0005,PBANKA_061610,PbGEM-234590
barseq_0005,PBANKA_071420,PbGEM-235636
barseq_0005,PBANKA_071840,PbGEM-236544
barseq_0005,PBANKA_072200,PbGEM-237378
barseq_0005,PBANKA_080300,PbGEM-235651
barseq_0005,PBANKA_080310,PbGEM-235669
barseq_0005,PBANKA_082100,PbGEM-239805
barseq_0005,PBANKA_082360,PbGEM-259412
barseq_0005,PBANKA_082860,PbGEM-259788
barseq_0005,PBANKA_083170,PbGEM-260028
barseq_0005,PBANKA_083490,PbGEM-260276
barseq_0005,PBANKA_091180,PbGEM-238067
barseq_0005,PBANKA_091970,PbGEM-240156
barseq_0005,PBANKA_092950,PbGEM-242177
barseq_0005,PBANKA_093160,PbGEM-239261
barseq_0005,PBANKA_093350,PbGEM-239781
barseq_0005,PBANKA_094090,PbGEM-241399
barseq_0005,PBANKA_100490,PbGEM-243622
barseq_0005,PBANKA_100670,PbGEM-244202
barseq_0005,PBANKA_100810,PbGEM-262580
barseq_0005,PBANKA_101910,PbGEM-263388
barseq_0005,PBANKA_102020,PbGEM-263492
barseq_0005,PBANKA_102410,PbGEM-263764
barseq_0005,PBANKA_102490,PbGEM-263820
barseq_0005,PBANKA_102970,PbGEM-241496
barseq_0005,PBANKA_103130,PbGEM-242021
barseq_0005,PBANKA_103470,PbGEM-242813
barseq_0005,PBANKA_103760,PbGEM-243448
barseq_0005,PBANKA_110830,PbGEM-246413
barseq_0005,PBANKA_111440,PbGEM-244357
barseq_0005,PBANKA_111710,PbGEM-244963
barseq_0005,PBANKA_112260,PbGEM-246711
barseq_0005,PBANKA_112700,PbGEM-248013
barseq_0005,PBANKA_112780,PbGEM-248353
barseq_0005,PBANKA_113270,PbGEM-245292
barseq_0005,PBANKA_113380,PbGEM-245693
barseq_0005,PBANKA_113690,PbGEM-246710
barseq_0005,PBANKA_120870,PbGEM-245936
barseq_0005,PBANKA_122350,PbGEM-250890
barseq_0005,PBANKA_122760,PbGEM-252519
barseq_0005,PBANKA_123880,PbGEM-261596
barseq_0005,PBANKA_130090,PbGEM-262228
barseq_0005,PBANKA_132050,PbGEM-253763
barseq_0005,PBANKA_132270,PbGEM-254616
barseq_0005,PBANKA_134020,PbGEM-252781
barseq_0005,PBANKA_134790,PbGEM-255530
barseq_0005,PBANKA_134840,PbGEM-249514
barseq_0005,PBANKA_135110,PbGEM-250699
barseq_0005,PBANKA_141980,PbGEM-256665
barseq_0005,PBANKA_142640,PbGEM-254102
barseq_0005,PBANKA_143870,PbGEM-257534
barseq_0005,PBANKA_144070,PbGEM-257980
barseq_0005,PBANKA_144250,PbGEM-258236
barseq_0005,PBANKA_144400,PbGEM-258421
barseq_0005,PBANKA_144760,PbGEM-256592
barseq_0005,PBANKA_146320,PbGEM-259140
barseq_0005,PBANKA_146340,PbGEM-259156
,,
,av refs,
barseq_0006,p230p-tag,PbGEM-226060
barseq_0006,PBANKA_051490,PbGEM-015545
barseq_0006,PBANKA_051500,PbGEM-015561
barseq_0006,PBANKA_103780,PbGEM-097822
barseq_0006,PBANKA_103440,PbGEM-039254
barseq_0006,PBANKA_110420,PbGEM-122074
barseq_0006,PBANKA_140160,PbGEM-062476
barseq_0006,PBANKA_010920,PbGEM-265388
barseq_0006,PBANKA_020250,PbGEM-265492
barseq_0006,PBANKA_020510,PbGEM-265404
barseq_0006,PBANKA_040420,PbGEM-228827
barseq_0006,PBANKA_040520,PbGEM-264100
barseq_0006,PBANKA_040840,PbGEM-264140
barseq_0006,PBANKA_040860,PbGEM-229837
barseq_0006,PBANKA_041010,PbGEM-230013
barseq_0006,PBANKA_041620,PbGEM-265236
barseq_0006,PBANKA_041730,PbGEM-264428
barseq_0006,PBANKA_041800,PbGEM-264804
barseq_0006,PBANKA_050730,PbGEM-265588
barseq_0006,PBANKA_051230,PbGEM-231686
barseq_0006,PBANKA_051410,PbGEM-265476
barseq_0006,PBANKA_051630,PbGEM-232246
barseq_0006,PBANKA_051720,PbGEM-232399
barseq_0006,PBANKA_051980,PbGEM-265292
barseq_0006,PBANKA_052290,PbGEM-265140
barseq_0006,PBANKA_060110,PbGEM-233966
barseq_0006,PBANKA_060200,PbGEM-234148
barseq_0006,PBANKA_060270,PbGEM-232198
barseq_0006,PBANKA_060530,PbGEM-265636
barseq_0006,PBANKA_060710,PbGEM-264108
barseq_0006,PBANKA_061010,PbGEM-233431
barseq_0006,PBANKA_061030,PbGEM-264940
barseq_0006,PBANKA_070220,PbGEM-264356
barseq_0006,PBANKA_071190,PbGEM-265540
barseq_0006,PBANKA_071210,PbGEM-235204
barseq_0006,PBANKA_071750,PbGEM-265044
barseq_0006,PBANKA_071830,PbGEM-265612
barseq_0006,PBANKA_080660,PbGEM-236468
barseq_0006,PBANKA_080890,PbGEM-236907
barseq_0006,PBANKA_081190,PbGEM-265092
barseq_0006,PBANKA_081610,PbGEM-238477
barseq_0006,PBANKA_081760,PbGEM-238901
barseq_0006,PBANKA_081860,PbGEM-264220
barseq_0006,PBANKA_081950,PbGEM-265460
barseq_0006,PBANKA_081970,PbGEM-239470
barseq_0006,PBANKA_082630,PbGEM-264724
barseq_0006,PBANKA_083020,
barseq_0006,PBANKA_083460,PbGEM-264156
barseq_0006,PBANKA_083600,PbGEM-260340
barseq_0006,PBANKA_091230,PbGEM-265572
barseq_0006,PBANKA_091370,PbGEM-265052
barseq_0006,PBANKA_092160,PbGEM-240478
barseq_0006,PBANKA_092280,PbGEM-265324
barseq_0006,PBANKA_092860,PbGEM-264956
barseq_0006,PBANKA_092900,PbGEM-242008
barseq_0006,PBANKA_093120,PbGEM-265148
barseq_0006,PBANKA_093400,PbGEM-264516
barseq_0006,PBANKA_093540,PbGEM-240251
barseq_0006,PBANKA_093650,PbGEM-264668
