gene,csome,start,end,strand
PBANKA_0100100,1,26371,27916,forward
PBANKA_0100200,1,29285,30482,forward
PBANKA_0100300,1,33270,34584,forward
PBANKA_0100400,1,36844,38783,forward
PBANKA_0100500,1,40052,41483,reverse
PBANKA_0100600,1,42789,43271,forward
PBANKA_0100700,1,45315,46473,forward
PBANKA_0100800,1,47559,51707,reverse
PBANKA_0100900,1,56253,60273,forward
PBANKA_0101000,1,61396,62666,forward
PBANKA_0101100,1,63665,64618,forward
PBANKA_0101200,1,65221,68380,reverse
PBANKA_0101300,1,69076,70230,forward
PBANKA_0101400,1,70637,75081,reverse
PBANKA_0101500,1,77684,79087,reverse
PBANKA_0101600,1,79755,81779,forward
PBANKA_0101700,1,82175,83622,reverse
PBANKA_0101800,1,85535,87034,forward
PBANKA_0101900,1,88330,89766,reverse
PBANKA_0102000,1,92030,93454,forward
PBANKA_0102100,1,94042,95595,reverse
PBANKA_0102200,1,96818,99523,reverse
PBANKA_0102300,1,102681,104003,forward
PBANKA_0102400,1,104749,110663,reverse
PBANKA_0102500,1,112462,113895,forward
PBANKA_0102600,1,113956,121877,reverse
PBANKA_0102700,1,122663,123781,reverse
PBANKA_0102800,1,125050,129579,reverse
PBANKA_0102900,1,130777,136563,reverse
PBANKA_0103000,1,140282,141004,forward
PBANKA_0103100,1,141669,143660,forward
PBANKA_0103200,1,144470,145601,forward
PBANKA_0103300,1,148463,155002,forward
PBANKA_0103400,1,155566,157169,reverse
PBANKA_0103500,1,157943,162247,reverse
PBANKA_0103700,1,163005,163640,reverse
PBANKA_0103800,1,164310,164894,forward
PBANKA_0103900,1,168401,170608,forward
PBANKA_0104000,1,171686,173060,reverse
PBANKA_0104100,1,173897,175356,forward
PBANKA_0104200,1,175962,176435,reverse
PBANKA_0104300,1,176651,178580,reverse
PBANKA_0104400,1,179179,185103,reverse
PBANKA_0104500,1,187036,187815,forward
PBANKA_0104600,1,188330,193927,reverse
PBANKA_0104700,1,196519,198072,forward
PBANKA_0104800,1,198567,201569,reverse
PBANKA_0104900,1,204670,206858,forward
PBANKA_0105000,1,207928,208744,reverse
PBANKA_0105100,1,210136,210904,reverse
PBANKA_0105200,1,211904,214468,reverse
PBANKA_0105300,1,216483,221962,reverse
PBANKA_0105400,1,224533,229071,forward
PBANKA_0105500,1,230049,230699,reverse
PBANKA_0105600,1,233100,235901,forward
PBANKA_0105700,1,236912,240021,forward
PBANKA_0105800,1,240576,241896,reverse
PBANKA_0105900,1,242994,244392,forward
PBANKA_0106000,1,244883,248217,reverse
PBANKA_0106100,1,249342,250724,forward
PBANKA_0106200,1,251097,253855,reverse
PBANKA_0106300,1,258200,264727,forward
PBANKA_0106400,1,265588,267452,reverse
PBANKA_0106500,1,268315,270678,forward
PBANKA_0106600,1,270985,273139,reverse
PBANKA_0106700,1,273659,277192,forward
PBANKA_0106800,1,277341,278201,reverse
PBANKA_0106900,1,278666,281917,forward
PBANKA_0106950,1,282506,283870,forward
PBANKA_0107000,1,284338,284748,reverse
PBANKA_0107100,1,285801,286753,reverse
PBANKA_0107200,1,288589,289663,forward
PBANKA_0107300,1,291081,292796,forward
PBANKA_0107400,1,294827,296071,forward
PBANKA_0107500,1,297139,299950,forward
PBANKA_0107600,1,301998,318320,forward
PBANKA_0107700,1,318879,320670,reverse
PBANKA_0107800,1,322206,323736,forward
PBANKA_0107900,1,324834,327357,forward
PBANKA_0108000,1,327781,329589,reverse
PBANKA_0108100,1,330792,335330,forward
PBANKA_0108200,1,337150,342054,forward
PBANKA_0108300,1,343077,344303,reverse
PBANKA_0108400,1,347207,352450,forward
PBANKA_0108500,1,353132,354372,forward
PBANKA_0108600,1,354635,356417,reverse
PBANKA_0108700,1,357597,359636,reverse
PBANKA_0108800,1,363203,363613,forward
PBANKA_0108900,1,364126,364699,reverse
PBANKA_0109000,1,366467,367448,forward
PBANKA_0109100,1,367720,369732,forward
PBANKA_0109200,1,370462,373986,reverse
PBANKA_0109300,1,375602,376720,reverse
PBANKA_0109400,1,378228,378494,reverse
PBANKA_0109500,1,379499,380595,forward
PBANKA_0109600,1,381814,382954,forward
PBANKA_0109700,1,383303,385711,reverse
PBANKA_0109800,1,392770,393882,reverse
PBANKA_0109900,1,395262,397115,reverse
PBANKA_0110000,1,398398,398874,reverse
PBANKA_0110100,1,400224,408553,reverse
PBANKA_0110200,1,411711,412630,forward
PBANKA_0110300,1,413202,413673,reverse
PBANKA_0110400,1,414620,416326,reverse
PBANKA_0110500,1,417832,424673,reverse
PBANKA_0110600,1,425950,426303,forward
PBANKA_0110700,1,426330,427034,forward
PBANKA_0110800,1,427379,427738,reverse
PBANKA_0110900,1,428391,429608,reverse
PBANKA_0111000,1,430565,431569,reverse
PBANKA_0111100,1,432195,433178,reverse
PBANKA_0111200,1,435297,437330,forward
PBANKA_0111300.1,1,438265,440094,reverse
PBANKA_0111300.2,1,438290,440094,reverse
PBANKA_0111400,1,442214,442980,forward
PBANKA_0111500,1,443993,444279,forward
PBANKA_0111600,1,444999,448675,reverse
PBANKA_0111700,1,450549,451316,forward
PBANKA_0111800,1,451528,454530,reverse
PBANKA_0111900,1,457092,459260,forward
PBANKA_0112000,1,459663,461609,reverse
PBANKA_0112100,1,465529,473341,forward
PBANKA_0112200,1,473752,479628,reverse
PBANKA_0112300,1,482503,485040,reverse
PBANKA_0112400,1,486084,488519,reverse
PBANKA_0112500,1,489776,492033,reverse
PBANKA_0112600,1,494648,496159,forward
PBANKA_0112621,1,498163,499747,forward
PBANKA_0112641,1,501042,501904,forward
PBANKA_0112661.1,1,502777,504218,reverse
PBANKA_0112661.2,1,503125,504218,reverse
PBANKA_0112681,1,508005,509126,forward
PBANKA_0112701,1,510565,512140,reverse
PBANKA_0112721,1,513815,515305,reverse
PBANKA_0200400,2,2320,3535,forward
PBANKA_0200500,2,4858,5950,reverse
PBANKA_0200600,2,9308,10851,forward
PBANKA_0200650,2,12310,13879,forward
PBANKA_0200670,2,14312,15437,reverse
PBANKA_0200700,2,18570,19488,reverse
PBANKA_0200751,2,21872,23037,reverse
PBANKA_0201000,2,25817,26771,reverse
PBANKA_0201051,2,33333,38633,forward
PBANKA_0201100,2,44400,45526,reverse
PBANKA_0201200,2,48887,50086,forward
PBANKA_0201250,2,51408,52140,reverse
PBANKA_0201300,2,53529,54899,forward
PBANKA_0201340,2,56384,56843,reverse
PBANKA_0201360,2,58426,60011,reverse
PBANKA_0201400,2,64257,65897,forward
PBANKA_0201450,2,66310,66945,reverse
PBANKA_0201500,2,68633,69502,reverse
PBANKA_0201600,2,72746,73279,reverse
PBANKA_0201700,2,82166,82423,reverse
PBANKA_0201800,2,83766,85672,forward
PBANKA_0201900,2,85816,86292,forward
PBANKA_0202000,2,87321,89778,reverse
PBANKA_0202100,2,90934,91284,forward
PBANKA_0202200,2,91557,92360,forward
PBANKA_0202300,2,92992,94572,forward
PBANKA_0202400,2,95575,97197,reverse
PBANKA_0202500,2,99350,102481,forward
PBANKA_0202600,2,103116,103799,forward
PBANKA_0202700,2,104935,109753,forward
PBANKA_0202800,2,110329,110934,forward
PBANKA_0202900,2,111256,112556,reverse
PBANKA_0203000,2,115741,117081,forward
PBANKA_0203100,2,118344,122675,reverse
PBANKA_0203200,2,124260,127716,reverse
PBANKA_0203300,2,128960,129845,forward
PBANKA_0203400,2,130246,130665,reverse
PBANKA_0203500,2,131598,133697,forward
PBANKA_0203600,2,133870,134559,reverse
PBANKA_0203650,2,135119,136236,reverse
PBANKA_0203750,2,136373,139623,reverse
PBANKA_0203800,2,140319,141986,reverse
PBANKA_0203900,2,143027,143869,forward
PBANKA_0204000,2,144591,145226,forward
PBANKA_0204100,2,145808,146458,forward
PBANKA_0204200,2,147507,148166,forward
PBANKA_0204300,2,149116,150241,forward
PBANKA_0204400,2,150672,151397,forward
PBANKA_0204500,2,151574,154801,reverse
PBANKA_0204600,2,156215,156883,reverse
PBANKA_0204700,2,158791,161234,reverse
PBANKA_0204800,2,162512,165722,forward
PBANKA_0204900,2,166232,168005,forward
PBANKA_0205000,2,168589,169107,reverse
PBANKA_0205100,2,170399,172540,forward
PBANKA_0205200,2,173254,178908,reverse
PBANKA_0205300,2,181697,183685,reverse
PBANKA_0205400,2,184766,185813,forward
PBANKA_0205500,2,186553,187332,forward
PBANKA_0205600,2,187342,190494,reverse
PBANKA_0205700,2,191198,192460,reverse
PBANKA_0205800,2,193264,201438,reverse
PBANKA_0205900,2,206786,211194,forward
PBANKA_0206000,2,211994,212503,reverse
PBANKA_0206100,2,213722,215716,reverse
PBANKA_0206200,2,216165,217598,forward
PBANKA_0206300,2,217848,219296,reverse
PBANKA_0206400,2,220299,222227,reverse
PBANKA_0206500,2,223458,225365,reverse
PBANKA_0206600,2,226766,230323,reverse
PBANKA_0206700,2,231360,232178,reverse
PBANKA_0206800,2,232873,236811,reverse
PBANKA_0206900,2,238071,239009,reverse
PBANKA_0207000,2,241695,245253,forward
PBANKA_0207100,2,246014,246841,forward
PBANKA_0207200,2,247988,249139,forward
PBANKA_0207300,2,250559,252652,forward
PBANKA_0207400,2,253106,254641,reverse
PBANKA_0207500,2,256770,259326,forward
PBANKA_0207600,2,260565,267122,reverse
PBANKA_0207700,2,270966,274970,forward
PBANKA_0207800,2,275979,276968,forward
PBANKA_0207900,2,277689,278269,forward
PBANKA_0208000,2,279027,279777,forward
PBANKA_0208100,2,280842,282512,forward
PBANKA_0208200,2,283069,283497,reverse
PBANKA_0208300,2,286146,287666,reverse
PBANKA_0208400,2,288951,290825,reverse
PBANKA_0208500,2,291596,295393,reverse
PBANKA_0208600,2,295938,296759,forward
PBANKA_0208700,2,297100,298578,reverse
PBANKA_0208800,2,299759,308804,reverse
PBANKA_0208900,2,312305,313630,forward
PBANKA_0209000,2,314627,317168,reverse
PBANKA_0209100,2,319172,319980,reverse
PBANKA_0209200,2,320987,322504,reverse
PBANKA_0209300,2,324779,326996,forward
PBANKA_0209400,2,327499,329659,reverse
PBANKA_0209500,2,329946,333329,reverse
PBANKA_0209600,2,333603,339009,reverse
PBANKA_0209700,2,340868,345481,forward
PBANKA_0209800,2,346406,348634,forward
PBANKA_0209900,2,350351,351822,forward
PBANKA_0210000,2,352921,356811,forward
PBANKA_0210100,2,357472,359210,forward
PBANKA_0210200,2,360274,362334,forward
PBANKA_0210300,2,363312,364796,forward
PBANKA_0210400,2,365994,369314,forward
PBANKA_0210500,2,369489,382514,reverse
PBANKA_0210600,2,383882,392643,reverse
PBANKA_0210700,2,395695,397903,forward
PBANKA_0210800,2,398347,398859,reverse
PBANKA_0210900,2,399067,399676,reverse
PBANKA_0211000,2,400844,402160,forward
PBANKA_0211100,2,402591,405410,reverse
PBANKA_0211200,2,406241,408892,reverse
PBANKA_0211300,2,410134,411759,reverse
PBANKA_0211400,2,412707,415028,reverse
PBANKA_0211500,2,416055,417175,forward
PBANKA_0211600,2,417751,419913,reverse
PBANKA_0211700,2,420929,424258,forward
PBANKA_0211800,2,424829,427294,reverse
PBANKA_0211900,2,429151,434103,forward
PBANKA_0212000,2,436210,441618,forward
PBANKA_0212100,2,442872,444152,reverse
PBANKA_0212200,2,445464,460922,reverse
PBANKA_0212300,2,462404,464199,forward
PBANKA_0212400,2,464787,465497,reverse
PBANKA_0212500,2,466326,466832,forward
PBANKA_0212600,2,467067,468072,reverse
PBANKA_0212700,2,469835,475726,forward
PBANKA_0212800,2,476469,478970,reverse
PBANKA_0212900,2,480543,482143,forward
PBANKA_0213000,2,482223,484809,reverse
PBANKA_0213100,2,485406,486660,forward
PBANKA_0213200,2,487985,495028,forward
PBANKA_0213300,2,496254,497156,forward
PBANKA_0213400,2,497780,500251,reverse
PBANKA_0213500,2,501505,502554,forward
PBANKA_0213600,2,503640,506075,forward
PBANKA_0213700,2,507354,508499,forward
PBANKA_0213800,2,508715,511213,reverse
PBANKA_0213900,2,512827,513120,forward
PBANKA_0214000,2,514747,530043,forward
PBANKA_0214100,2,530402,530888,reverse
PBANKA_0214200,2,531512,533986,forward
PBANKA_0214300,2,534570,537816,reverse
PBANKA_0214400,2,543241,547059,forward
PBANKA_0214500,2,549040,549826,forward
PBANKA_0214521,2,550312,550384,forward
PBANKA_0214531,2,550904,550975,reverse
PBANKA_0214550,2,552819,553702,forward
PBANKA_0214600,2,555543,558710,forward
PBANKA_0214700,2,561706,563261,forward
PBANKA_0214800,2,564778,566528,reverse
PBANKA_0214900,2,567781,569274,reverse
PBANKA_0214951,2,571292,571803,reverse
PBANKA_0215700,2,575493,576610,forward
PBANKA_0215800,2,578486,579402,forward
PBANKA_0215900,2,582044,583293,forward
PBANKA_0216000,2,585291,587212,forward
PBANKA_0216021,2,591354,592130,reverse
PBANKA_0216041,2,593515,594725,forward
PBANKA_0216061,2,597154,598205,forward
PBANKA_0216081,2,599663,600724,reverse
PBANKA_0216701,2,601816,603353,forward
PBANKA_0216721,2,604722,605352,forward
PBANKA_0216741,2,608692,610004,forward
PBANKA_0216761,2,612280,614216,forward
PBANKA_0216781,2,614765,616333,reverse
PBANKA_0216801,2,617750,621636,reverse
PBANKA_0300100,3,239,2995,reverse
PBANKA_0300200,3,5045,6225,reverse
PBANKA_0300300,3,8909,10054,reverse
PBANKA_0300400,3,12739,13917,reverse
PBANKA_0300500,3,15290,16761,reverse
PBANKA_0300600,3,19615,21889,reverse
PBANKA_0300700,3,23740,27367,reverse
PBANKA_0300800,3,28242,29867,forward
PBANKA_0300900,3,30365,31102,reverse
PBANKA_0301000,3,31915,36786,reverse
PBANKA_0301100,3,39180,40385,reverse
PBANKA_0301200,3,41130,41777,forward
PBANKA_0301300,3,42182,43084,reverse
PBANKA_0301351,3,44671,44742,forward
PBANKA_0301400,3,45915,47393,forward
PBANKA_0301500,3,48172,49347,reverse
PBANKA_0301600,3,50728,53602,reverse
PBANKA_0301700,3,54902,56263,forward
PBANKA_0301800,3,56946,59397,forward
PBANKA_0301900,3,59868,65258,reverse
PBANKA_0302000,3,67983,69423,forward
PBANKA_0302100,3,70066,72033,reverse
PBANKA_0302200,3,72431,73227,reverse
PBANKA_0302300,3,74002,75234,reverse
PBANKA_0302400,3,76581,79532,reverse
PBANKA_0302500,3,80750,82267,reverse
PBANKA_0302600,3,83967,85118,reverse
PBANKA_0302700,3,85780,87109,forward
PBANKA_0302800,3,87712,89648,reverse
PBANKA_0302900,3,89952,91007,reverse
PBANKA_0303000,3,91934,94310,forward
PBANKA_0303100,3,95592,96947,forward
PBANKA_0303200,3,97434,97988,reverse
PBANKA_0303300,3,100992,102851,forward
PBANKA_0303400,3,104205,105369,forward
PBANKA_0303500,3,105623,106210,reverse
PBANKA_0303600,3,107784,111220,forward
PBANKA_0303700,3,111484,115347,reverse
PBANKA_0303800,3,116265,117410,forward
PBANKA_0303900,3,119590,121215,forward
PBANKA_0304000,3,122433,128889,forward
PBANKA_0304100,3,129264,132356,reverse
PBANKA_0304200,3,134644,135116,reverse
PBANKA_0304300,3,136142,137515,forward
PBANKA_0304400,3,137777,138480,reverse
PBANKA_0304500,3,141623,146846,forward
PBANKA_0304600,3,147576,148130,reverse
PBANKA_0304700,3,149412,152465,reverse
PBANKA_0304800,3,153928,157135,reverse
PBANKA_0304900,3,158235,161950,reverse
PBANKA_0305000,3,163296,167127,reverse
PBANKA_0305100,3,168669,173334,reverse
PBANKA_0305200,3,175108,181666,forward
PBANKA_0305300,3,182052,182948,reverse
PBANKA_0305400,3,183881,188383,forward
PBANKA_0305500,3,188501,191917,reverse
PBANKA_0305600,3,194325,194919,forward
PBANKA_0305700,3,195923,197128,forward
PBANKA_0305800,3,197497,198948,reverse
PBANKA_0305900,3,199807,200463,forward
PBANKA_0306000,3,201621,208484,forward
PBANKA_0306100,3,209919,218189,forward
PBANKA_0306200,3,219252,221667,reverse
PBANKA_0306300,3,223112,225036,reverse
PBANKA_0306400,3,225778,226611,forward
PBANKA_0306500,3,226723,229145,reverse
PBANKA_0306600,3,229839,231290,reverse
PBANKA_0306700,3,232877,236592,reverse
PBANKA_0306800,3,239595,241086,reverse
PBANKA_0306900,3,243883,244134,forward
PBANKA_0307000,3,245832,246676,forward
PBANKA_0307100,3,247008,253564,reverse
PBANKA_0307200,3,255838,257309,reverse
PBANKA_0307300,3,258253,259067,forward
PBANKA_0307400,3,259598,263575,forward
PBANKA_0307500,3,263666,265613,reverse
PBANKA_0307600,3,267347,268291,forward
PBANKA_0307700,3,268853,270040,reverse
PBANKA_0307800,3,272847,273695,reverse
PBANKA_0307900,3,280868,284185,forward
PBANKA_0308000,3,284581,285261,reverse
PBANKA_0308100,3,286038,287546,reverse
PBANKA_0308200,3,288142,290183,reverse
PBANKA_0308300,3,291742,295269,forward
PBANKA_0308400,3,296883,297497,forward
PBANKA_0308500,3,298439,300649,forward
PBANKA_0308600,3,301862,303589,forward
PBANKA_0308700,3,303859,305317,reverse
PBANKA_0308800,3,306218,307512,forward
PBANKA_0308900,3,309241,312136,forward
PBANKA_0309000,3,313276,314147,reverse
PBANKA_0309100,3,315531,317015,forward
PBANKA_0309200,3,317436,327310,reverse
PBANKA_0309400,3,328848,339818,forward
PBANKA_0309500,3,340792,341874,forward
PBANKA_0309600,3,342233,343264,reverse
PBANKA_0309700,3,343988,346024,forward
PBANKA_0309800,3,346711,347754,forward
PBANKA_0309900,3,348550,349050,forward
PBANKA_0310000,3,350597,352153,forward
PBANKA_0310100,3,353087,353574,reverse
PBANKA_0310200,3,353676,354434,reverse
PBANKA_0310300,3,354585,356253,forward
PBANKA_0310400,3,356238,358188,reverse
PBANKA_0310500,3,358607,366270,reverse
PBANKA_0310600,3,368048,368594,forward
PBANKA_0310700,3,369705,371705,forward
PBANKA_0310800,3,372034,374520,reverse
PBANKA_0310900,3,376168,377920,forward
PBANKA_0311000,3,378263,382812,reverse
PBANKA_0311100,3,384682,385484,reverse
PBANKA_0311200,3,386377,388283,reverse
PBANKA_0311300,3,389469,390374,forward
PBANKA_0311400,3,392827,397779,forward
PBANKA_0311500,3,398877,400911,reverse
PBANKA_0311600,3,403216,407019,forward
PBANKA_0311700,3,407928,410523,forward
PBANKA_0311800,3,411074,413335,reverse
PBANKA_0311900,3,414261,416145,reverse
PBANKA_0312000,3,418038,418775,forward
PBANKA_0312100,3,419562,421979,reverse
PBANKA_0312200,3,424073,425704,forward
PBANKA_0312300,3,426134,427177,reverse
PBANKA_0312400,3,428710,432778,forward
PBANKA_0312500,3,433314,435761,reverse
PBANKA_0312600,3,436826,438718,reverse
PBANKA_0312700,3,440439,444836,forward
PBANKA_0312800,3,445101,448585,reverse
PBANKA_0312900,3,449189,450070,reverse
PBANKA_0313000,3,450626,453973,forward
PBANKA_0313100,3,455123,457216,forward
PBANKA_0313200,3,458055,463068,forward
PBANKA_0313300,3,465211,466953,forward
PBANKA_0313400,3,468186,473291,forward
PBANKA_0313500,3,473899,476517,reverse
PBANKA_0313600,3,478002,479393,forward
PBANKA_0313700,3,479611,482564,reverse
PBANKA_0313800,3,484437,486083,forward
PBANKA_0313900,3,486308,490504,reverse
PBANKA_0314000,3,491467,492143,reverse
PBANKA_0314100,3,493504,494057,forward
PBANKA_0314200,3,496285,498239,forward
PBANKA_0314300,3,498867,503910,reverse
PBANKA_0314400,3,504931,506067,reverse
PBANKA_0314500,3,508148,508471,forward
PBANKA_0314600,3,509213,510727,reverse
PBANKA_0314700,3,512508,513500,forward
PBANKA_0314800,3,514381,515708,forward
PBANKA_0314900,3,516040,518334,reverse
PBANKA_0315000,3,520052,521566,reverse
PBANKA_0315100,3,522120,523619,reverse
PBANKA_0315200,3,524591,524991,forward
PBANKA_0315300,3,525990,531287,forward
PBANKA_0315400,3,532243,533765,reverse
PBANKA_0315410,3,534899,535418,reverse
PBANKA_0315420,3,535889,536009,reverse
PBANKA_0315430,3,536346,536429,reverse
PBANKA_0315500,3,537994,539184,forward
PBANKA_0315600,3,540466,540936,forward
PBANKA_0315700,3,541393,541794,reverse
PBANKA_0315800,3,543261,543573,forward
PBANKA_0315900,3,544328,545375,reverse
PBANKA_0316000,3,546414,548999,reverse
PBANKA_0316100,3,553245,554232,forward
PBANKA_0316200,3,555784,561044,forward
PBANKA_0316300,3,562854,563799,forward
PBANKA_0316400,3,565120,566413,forward
PBANKA_0316500,3,566797,568368,reverse
PBANKA_0316600,3,569850,578171,reverse
PBANKA_0316650,3,580469,581069,forward
PBANKA_0316700,3,582481,583235,forward
PBANKA_0316800,3,585675,586962,forward
PBANKA_0316821,3,589585,590504,reverse
PBANKA_0316841,3,592234,593185,forward
PBANKA_0316861,3,596181,597317,forward
PBANKA_0316900,3,599607,600893,forward
PBANKA_0316921,3,603128,604041,forward
PBANKA_0316941,3,606686,607797,forward
PBANKA_0316961,3,609277,610845,reverse
PBANKA_0316981,3,612064,620515,reverse
PBANKA_0317001,3,626054,627158,forward
PBANKA_0317021,3,628972,629888,forward
PBANKA_0317041,3,632815,634036,forward
PBANKA_0317061,3,635300,636780,reverse
PBANKA_0317081,3,638797,639308,reverse
PBANKA_0317101,3,642907,644012,forward
PBANKA_0317121,3,645384,646995,reverse
PBANKA_0317141,3,648450,649944,reverse
PBANKA_0317161,3,652753,653548,forward
PBANKA_0317181,3,656620,659073,forward
PBANKA_0400100,4,321,2396,reverse
PBANKA_0400200,4,5285,6319,reverse
PBANKA_0400500,4,8143,10959,reverse
PBANKA_0400600,4,13698,14831,reverse
PBANKA_0400700,4,18800,20293,forward
PBANKA_0400800,4,21899,23292,forward
PBANKA_0400900,4,25826,26944,reverse
PBANKA_0401000,4,28106,30106,reverse
PBANKA_0401100,4,34262,38182,forward
PBANKA_0401200,4,40580,44404,forward
PBANKA_0401300,4,45403,46305,reverse
PBANKA_0401400,4,47796,49220,reverse
PBANKA_0401500,4,52811,56822,reverse
PBANKA_0401600,4,59454,61787,reverse
PBANKA_0401700,4,62664,66626,reverse
PBANKA_0401800,4,68998,73498,forward
PBANKA_0401900,4,74403,75059,reverse
PBANKA_0402000,4,77345,80014,forward
PBANKA_0402100,4,81605,87079,forward
PBANKA_0402200,4,87845,88372,forward
PBANKA_0402300,4,88838,90169,reverse
PBANKA_0402400,4,91125,92846,forward
PBANKA_0402500,4,92973,93796,reverse
PBANKA_0402600,4,94549,97340,reverse
PBANKA_0402700,4,99776,101314,forward
PBANKA_0402800,4,102972,104561,reverse
PBANKA_0402900,4,107475,111140,forward
PBANKA_0403000,4,112358,112842,forward
PBANKA_0403100,4,113352,114087,reverse
PBANKA_0403200,4,115144,116166,reverse
PBANKA_0403300,4,118805,122911,forward
PBANKA_0403400,4,123368,123886,reverse
PBANKA_0403500,4,125196,126489,reverse
PBANKA_0403600,4,127356,137946,reverse
PBANKA_0403700,4,140698,143397,forward
PBANKA_0403800,4,144333,146745,reverse
PBANKA_0403900,4,148343,149023,forward
PBANKA_0404000,4,149758,159693,reverse
PBANKA_0404100,4,161768,163390,reverse
PBANKA_0404200,4,164544,165224,reverse
PBANKA_0404300,4,167234,169948,forward
PBANKA_0404400,4,171168,171578,reverse
PBANKA_0404500,4,173316,174535,reverse
PBANKA_0404600,4,176530,178052,forward
PBANKA_0404700,4,178601,179501,reverse
PBANKA_0404800,4,181072,182955,forward
PBANKA_0404900,4,183735,184637,reverse
PBANKA_0405000,4,185770,186027,forward
PBANKA_0405100,4,187262,187943,forward
PBANKA_0405200,4,188892,190669,reverse
PBANKA_0405300,4,193055,194284,forward
PBANKA_0405310,4,193746,193885,forward
PBANKA_0405400,4,195002,195648,reverse
PBANKA_0405500,4,196983,198204,reverse
PBANKA_0405600,4,201127,202434,forward
PBANKA_0405700,4,203138,204130,reverse
PBANKA_0405800,4,204664,206416,reverse
PBANKA_0405900,4,207370,209283,forward
PBANKA_0406000,4,209544,214856,reverse
PBANKA_0406100,4,216808,218658,forward
PBANKA_0406200,4,219037,230225,reverse
PBANKA_0406300,4,231953,233386,forward
PBANKA_0406400,4,234708,239279,forward
PBANKA_0406500,4,240132,241895,reverse
PBANKA_0406600,4,243301,244134,reverse
PBANKA_0406650,4,245880,246011,forward
PBANKA_0406700,4,247467,248138,forward
PBANKA_0406800,4,249319,250818,forward
PBANKA_0406900,4,252482,254165,forward
PBANKA_0407000,4,255013,255500,forward
PBANKA_0407100,4,256155,259964,reverse
PBANKA_0407200,4,261568,263657,forward
PBANKA_0407300,4,263937,264975,reverse
PBANKA_0407400,4,265656,271056,reverse
PBANKA_0407500,4,273695,275767,forward
PBANKA_0407550,4,276585,276669,reverse
PBANKA_0407600,4,277672,280203,forward
PBANKA_0407700,4,282316,282651,forward
PBANKA_0407800,4,283275,284855,reverse
PBANKA_0407900,4,285798,287480,forward
PBANKA_0408000,4,287998,292864,reverse
PBANKA_0408100,4,293710,294583,forward
PBANKA_0408200,4,296370,298501,forward
PBANKA_0408300,4,300183,310724,forward
PBANKA_0408400,4,312521,315844,forward
PBANKA_0408500,4,316756,319725,forward
PBANKA_0408600,4,321067,322194,reverse
PBANKA_0408700,4,323169,323778,forward
PBANKA_0408800,4,323904,324233,forward
PBANKA_0408900,4,325304,327601,forward
PBANKA_0409000,4,328578,329357,forward
PBANKA_0409100,4,329754,331302,reverse
PBANKA_0409200,4,332624,336176,forward
PBANKA_0409300,4,336850,340161,reverse
PBANKA_0409400,4,344922,353185,forward
PBANKA_0409500,4,354431,354676,reverse
