Old Gene ID,current_version_ID,gene_name,gene_product,PfID
PBANKA_010150,PBANKA_0101500,,"conserved Plasmodium protein, unknown function",PF3D7_0602700
PBANKA_010160,PBANKA_0101600,,"conserved Plasmodium protein, unknown function",PF3D7_0602800
PBANKA_010170,PBANKA_0101700,,"conserved Plasmodium protein, unknown function",PF3D7_0602900
PBANKA_010180,PBANKA_0101800,,"conserved Plasmodium protein, unknown function",PF3D7_0603000
PBANKA_010190,PBANKA_0101900,,"conserved Plasmodium protein, unknown function",PF3D7_0603100
PBANKA_010200,PBANKA_0102000,,"mitochondrial chaperone BCS1, putative",PF3D7_0603200
PBANKA_010210,PBANKA_0102100,DHODH,"dihydroorotate dehydrogenase, putative",PF3D7_0603300
PBANKA_010220,PBANKA_0102200,TEX1,"trophozoite exported protein 1, putative",PF3D7_0603400
PBANKA_010230,PBANKA_0102300,CAX,cation/H+ antiporter,PF3D7_0603500
PBANKA_010240,PBANKA_0102400,,"conserved Plasmodium protein, unknown function",PF3D7_0603600
PBANKA_010250,PBANKA_0102500,,"phenylalanine--tRNA ligase, putative",PF3D7_0603700
PBANKA_010260,PBANKA_0102600,CEP76,"centrosomal protein CEP76, putative",PF3D7_0603800
PBANKA_010270,PBANKA_0102700,,"conserved Plasmodium protein, unknown function",PF3D7_0603900
PBANKA_010280,PBANKA_0102800,,"conserved Plasmodium protein, unknown function",PF3D7_0604000
PBANKA_010290,PBANKA_0102900,SIP2,"transcription factor with AP2 domain(s), putative;SPE2-interacting protein, putative",PF3D7_0604100
PBANKA_010300,PBANKA_0103000,,"mitochondrial ribosomal protein L41, putative",PF3D7_0604200
PBANKA_010310,PBANKA_0103100,,"conserved Plasmodium protein, unknown function",PF3D7_0604300
PBANKA_010320,PBANKA_0103200,,"conserved Plasmodium protein, unknown function",PF3D7_0604400
PBANKA_010330,PBANKA_0103300,,"conserved Plasmodium protein, unknown function",PF3D7_0604500
PBANKA_010340,PBANKA_0103400,GILP,"glyoxalase I, putative",PF3D7_0604700
PBANKA_010350,PBANKA_0103500,,"RAP protein, putative",PF3D7_0604800
PBANKA_010360,PBANKA_0103500,,"RAP protein, putative",PF3D7_0604800
PBANKA_010370,PBANKA_0103700,,"conserved Plasmodium protein, unknown function",PF3D7_0604900
PBANKA_010380,PBANKA_0103800,,"50S ribosomal protein L24, putative",PF3D7_0605000
PBANKA_010390,PBANKA_0103900,,"RNA-binding protein, putative",PF3D7_0605100
PBANKA_010400,PBANKA_0104000,,"conserved Plasmodium protein, unknown function",PF3D7_0605200
PBANKA_010410,PBANKA_0104100,ARK1,"serine/threonine protein kinase, putative",PF3D7_0605300
PBANKA_010420,PBANKA_0104200,,"calcium-binding protein, putative",PF3D7_0605400
PBANKA_010430,PBANKA_0104300,,"cyclin dependent kinase binding protein, putative",PF3D7_0605500
PBANKA_010440,PBANKA_0104400,,"nucleoside diphosphate kinase, putative",PF3D7_0605600
PBANKA_010450,PBANKA_0104500,,"conserved Plasmodium protein, unknown function",PF3D7_0605700
PBANKA_010460,PBANKA_0104600,RAD50,"DNA repair protein RAD50, putative",PF3D7_0605800
PBANKA_010470,PBANKA_0104700,,"long chain polyunsaturated fatty acid elongation enzyme, putative",PF3D7_0605900
PBANKA_010480,PBANKA_0104800,,"conserved Plasmodium protein, unknown function",PF3D7_0606000
PBANKA_010490,PBANKA_0104900,,"RNA-binding protein, putative",PF3D7_0606100
PBANKA_010500,PBANKA_0105000,,"ubiquitin-conjugating enzyme E2, putative",PF3D7_0606200
PBANKA_010510,PBANKA_0105100,,"conserved Plasmodium protein, unknown function",PF3D7_0606400
PBANKA_010520,PBANKA_0105200,,"polypyrimidine tract-binding protein, putative",PF3D7_0606500
PBANKA_010530,PBANKA_0105300,,"conserved Plasmodium protein, unknown function",PF3D7_0606600
PBANKA_010540,PBANKA_0105400,,"coatomer alpha subunit, putative",PF3D7_0606700
PBANKA_010550,PBANKA_0105500,GLP2,glutaredoxin-like protein,PF3D7_0606900
PBANKA_010560,PBANKA_0105600,,"translation initiation factor IF-2, putative",PF3D7_0607000
PBANKA_010570,PBANKA_0105700,,"MYND finger protein, putative",PF3D7_0607100
PBANKA_010580,PBANKA_0105800,,"RING zinc finger protein, putative",PF3D7_0607200
PBANKA_010590,PBANKA_0105900,UROD,"uroporphyrinogen III decarboxylase, putative",PF3D7_0607300
PBANKA_010600,PBANKA_0106000,,"G-protein associated signal transduction protein, putative",PF3D7_0607400
PBANKA_010610,PBANKA_0106100,COQ2,"para-hydroxybenzoate--polyprenyltransferase, putative",PF3D7_0607500
PBANKA_010620,PBANKA_0106200,SAS6,"spindle assembly abnormal protein 6, putative",PF3D7_0607600
PBANKA_010630,PBANKA_0106300,,"conserved Plasmodium protein, unknown function",PF3D7_0607700
PBANKA_010640,PBANKA_0106400,,"GTP-binding protein, putative",PF3D7_0607800
PBANKA_010650,PBANKA_0106500,,"conserved Plasmodium protein, unknown function",PF3D7_0607900
PBANKA_010660,PBANKA_0106600,DPH7,"diphthine methyltransferase, putative",PF3D7_0608000
PBANKA_010670,PBANKA_0106700,,"conserved Plasmodium protein, unknown function",PF3D7_0608100
PBANKA_010680,PBANKA_0106800,,"conserved Plasmodium protein, unknown function",PF3D7_0608200
PBANKA_010690,PBANKA_0106900,,"conserved Plasmodium protein, unknown function",#N/A
PBANKA_010695,PBANKA_0106950,SAM50,"sorting assembly machinery 50 kDa subunit, putative",#N/A
PBANKA_010700,PBANKA_0107000,,"conserved Plasmodium protein, unknown function",PF3D7_0608400
PBANKA_010710,PBANKA_0107100,,"proteasome subunit alpha type-2, putative",PF3D7_0608500
PBANKA_010720,PBANKA_0107200,,"conserved Plasmodium protein, unknown function",#N/A
PBANKA_010730,PBANKA_0107300,CCT6,"T-complex protein 1 subunit zeta, putative",PF3D7_0608700
PBANKA_010740,PBANKA_0107400,OAT,"ornithine aminotransferase, putative",PF3D7_0608800
PBANKA_010750,PBANKA_0107500,,"conserved Plasmodium protein, unknown function",PF3D7_0608900
PBANKA_010760,PBANKA_0107600,,"conserved Plasmodium protein, unknown function",PF3D7_0609000
PBANKA_010770,PBANKA_0107700,,"permease, putative",PF3D7_0609100
PBANKA_010780,PBANKA_0107800,,"citrate synthase-like protein, putative",PF3D7_0609200
PBANKA_010790,PBANKA_0107900,,"conserved Plasmodium protein, unknown function",PF3D7_0609300
PBANKA_010800,PBANKA_0108000,CLS,"mitochondrial cardiolipin synthase, putative",PF3D7_0609400
PBANKA_010810,PBANKA_0108100,,"conserved Plasmodium protein, unknown function",PF3D7_0609500
PBANKA_010820,PBANKA_0108200,,"conserved Plasmodium protein, unknown function",PF3D7_0609700
PBANKA_010830,PBANKA_0108300,DHHC2,palmitoyltransferase,PF3D7_0609800
PBANKA_010840,PBANKA_0108400,,"conserved Plasmodium protein, unknown function",PF3D7_0609900
PBANKA_010850,PBANKA_0108500,,"mitochondrial ribosomal protein L19 precursor, putative",PF3D7_0610000
PBANKA_010860,PBANKA_0108600,SLU7,"pre-mRNA-splicing factor SLU7, putative",PF3D7_0610100
PBANKA_010870,PBANKA_0108700,RBM25,"RNA-binding protein 25, putative",PF3D7_0610200
PBANKA_010880,PBANKA_0108800,,"histone H3, putative",PF3D7_0610400
PBANKA_010890,PBANKA_0108900,,"peptidyl-tRNA hydrolase PTRHD1, putative",PF3D7_0610500
PBANKA_010900,PBANKA_0109000,,"conserved Plasmodium protein, unknown function",PF3D7_0610700
PBANKA_010910,PBANKA_0109100,TK,"transketolase, putative",PF3D7_0610800
PBANKA_010920,PBANKA_0109200,SPT5,"transcription elongation factor SPT5, putative",PF3D7_0610900
PBANKA_010930,PBANKA_0109300,,"SNARE associated Golgi protein, putative",PF3D7_0611000
PBANKA_010940,PBANKA_0109400,SDH3,"succinate dehydrogenase subunit 3, putative",PF3D7_0611100
PBANKA_010950,PBANKA_0109500,ApiAP2,"transcription factor with AP2 domain(s), putative",PF3D7_0611200
PBANKA_010960,PBANKA_0109600,,"conserved Plasmodium protein, unknown function",PF3D7_0611300
PBANKA_010970,PBANKA_0109700,,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin,PF3D7_0611400
PBANKA_010980,PBANKA_0109800,,"conserved Plasmodium protein, unknown function",PF3D7_0611500
PBANKA_010990,PBANKA_0109900,,"conserved Plasmodium protein, unknown function",PF3D7_0611600
PBANKA_011000,PBANKA_0110000,,"60S ribosomal protein L39, putative",PF3D7_0611700
PBANKA_011010,PBANKA_0110100,,"conserved Plasmodium protein, unknown function",PF3D7_0611800
PBANKA_011020,PBANKA_0110200,,"lsm12, putative",PF3D7_0611900
PBANKA_011030,PBANKA_0110300,,"conserved Plasmodium protein, unknown function",PF3D7_0612000
PBANKA_011040,PBANKA_0110400,EIF3L,"eukaryotic translation initiation factor 3 subunit L, putative",PF3D7_0612100
PBANKA_011050,PBANKA_0110500,LRR6,leucine-rich repeat protein,PF3D7_0612200
PBANKA_011060,PBANKA_0110600,,"conserved protein, unknown function",PF3D7_0612300
PBANKA_011070,PBANKA_0110700,,"conserved Plasmodium protein, unknown function",PF3D7_0612400
PBANKA_011080,PBANKA_0110800,,"conserved Plasmodium protein, unknown function",PF3D7_0612500
PBANKA_011090,PBANKA_0110900,NCS6,"cytoplasmic tRNA 2-thiolation protein 1, putative",PF3D7_0612600
PBANKA_011100,PBANKA_0111000,P12,6-cysteine protein,PF3D7_0612700
PBANKA_011110,PBANKA_0111100,P12p,6-cysteine protein,PF3D7_0612800
PBANKA_011120,PBANKA_0111200,,"nucleolar GTP-binding protein 1, putative",PF3D7_0612900
PBANKA_011130,PBANKA_0111300,,"conserved Plasmodium protein, unknown function",#N/A
PBANKA_011140,PBANKA_0111400,,"conserved Plasmodium protein, unknown function",PF3D7_0613100
PBANKA_011150,PBANKA_0111500,,"conserved Plasmodium protein, unknown function",PF3D7_0613200
PBANKA_011160,PBANKA_0111600,ROP14,"rhoptry protein ROP14, putative",PF3D7_0613300
PBANKA_011170,PBANKA_0111700,,"apicoplast ribosomal protein L18 precursor, putative",PF3D7_0613400
PBANKA_011180,PBANKA_0111800,,"AP-3 complex subunit beta, putative",PF3D7_0613500
PBANKA_011190,PBANKA_0111900,,"conserved Plasmodium protein, unknown function",PF3D7_0613600
PBANKA_011200,PBANKA_0112000,,"syntaxin binding protein, putative",PF3D7_0613700
PBANKA_011210,PBANKA_0112100,ApiAP2,"transcription factor with AP2 domain(s), putative",PF3D7_0613800
PBANKA_011220,PBANKA_0112200,,"myosin-like protein, putative",PF3D7_0613900
PBANKA_011230,PBANKA_0112300,,"conserved Plasmodium protein, unknown function",#N/A
PBANKA_011240,PBANKA_0112400,NAR1,"cytosolic Fe-S cluster assembly factor NAR1, putative",#N/A
PBANKA_011250,PBANKA_0112500,,"organic anion transporter, putative",PF3D7_0614300
PBANKA_011260,PBANKA_0112600,,fam-b protein,#N/A
PBANKA_020010,PBANKA_0007401;PBANKA_0600011.1;PBANKA_13000710;PBANKA_0008201.1,,BIR protein;PIR protein;,#N/A
PBANKA_020020,PBANKA_0001601;PBANKA_1300011.1;PBANKA_0007501;PBANKA_0600021.1;PBANKA_0008101.1,,fam-a protein;,#N/A
PBANKA_020030,PBANKA_0600031,,BIR protein;PIR protein,#N/A
PBANKA_020040,PBANKA_0200400,,"Plasmodium exported protein, unknown function",#N/A
PBANKA_020060,PBANKA_0200600,,fam-a protein,#N/A
PBANKA_020065,PBANKA_0200650,,fam-a protein,#N/A
PBANKA_020070,PBANKA_0200700,,fam-b protein,#N/A
PBANKA_020080,PBANKA_0100021,,fam-b protein,#N/A
PBANKA_020090,PBANKA_0600071.1;PBANKA_0100041;PBANKA_1365721,,";conserved rodent malaria protein, unknown function",#N/A
PBANKA_020100,PBANKA_0201000,,fam-b protein,#N/A
PBANKA_020130,PBANKA_0201300,,"lysophospholipase, putative",#N/A
PBANKA_020134,PBANKA_0201340,,fam-c protein,#N/A
PBANKA_020150,PBANKA_0201500,,"Plasmodium exported protein, unknown function",#N/A
PBANKA_020160,PBANKA_0201600,ETRAMP,early transcribed membrane protein,#N/A
PBANKA_020170,PBANKA_0201700,,"conserved Plasmodium protein, unknown function",PF3D7_0112100
PBANKA_020180,PBANKA_0201800,,"TatD-like deoxyribonuclease, putative",PF3D7_0112000
PBANKA_020190,PBANKA_0201900,,"conserved protein, unknown function",PF3D7_0111900
PBANKA_020200,PBANKA_0202000,,"eukaryotic translation initiation factor 4E, putative",PF3D7_0111800
PBANKA_020210,PBANKA_0202100,,"conserved Plasmodium protein, unknown function",PF3D7_0111700
PBANKA_020220,PBANKA_0202200,,"conserved Plasmodium protein, unknown function",PF3D7_0111600
PBANKA_020230,PBANKA_0202300,,"UMP-CMP kinase, putative",PF3D7_0111500
PBANKA_020240,PBANKA_0202400,,"conserved Plasmodium protein, unknown function",PF3D7_0111400
PBANKA_020250,PBANKA_0202500,,"replication factor c protein, putative",PF3D7_0111300
PBANKA_020260,PBANKA_0202600,,"conserved Plasmodium protein, unknown function",PF3D7_0111200
PBANKA_020270,PBANKA_0202700,,"kinesin-8, putative",PF3D7_0111000
PBANKA_020280,PBANKA_0202800,AKLP1,"adenylate kinase-like protein 1, putative",PF3D7_0110900
PBANKA_020290,PBANKA_0202900,,"transcription initiation factor TFIIB, putative",PF3D7_0110800
PBANKA_020300,PBANKA_0203000,,"chromatin assembly factor 1 protein WD40 domain, putative",PF3D7_0110700
PBANKA_020310,PBANKA_0203100,PIP5K,"phosphatidylinositol-4-phosphate 5-kinase, putative",PF3D7_0110600
PBANKA_020320,PBANKA_0203200,,"bromodomain protein, putative",PF3D7_0110500
PBANKA_020330,PBANKA_0203300,RPB9,"DNA-directed RNA polymerase II subunit RPB9, putative",PF3D7_0110400
PBANKA_020340,PBANKA_0203400,ERV1,"FAD-linked sulfhydryl oxidase ERV1, putative",PF3D7_0110200
PBANKA_020350,PBANKA_0203500,,"selenocysteine-specific elongation factor selB homologue, putative",PF3D7_0110100
PBANKA_020360,PBANKA_0203600,,"conserved Plasmodium protein, unknown function",PF3D7_0110000
PBANKA_020370,PBANKA_0203650;PBANKA_0203750,,"conserved Plasmodium protein, unknown function;phosphatidate cytidylyltransferase, putative",#N/A
PBANKA_020380,PBANKA_0203800,,"phenylalanine--tRNA ligase alpha subunit, putative",PF3D7_0109800
PBANKA_020390,PBANKA_0203900,,"conserved protein, unknown function",PF3D7_0109700
PBANKA_020400,PBANKA_0204000,,"cold-shock protein, putative",PF3D7_0109600
PBANKA_020410,PBANKA_0204100,,"N-terminal acetyltransferase, putative",PF3D7_0109500
PBANKA_020420,PBANKA_0204200,,"tubulin-specific chaperone a, putative",PF3D7_0109400
PBANKA_020440,PBANKA_0204400,,"cleavage and polyadenylation specificity factor subunit 5, putative",PF3D7_0109200
PBANKA_020450,PBANKA_0204500,CCp5,LCCL domain-containing protein,PF3D7_0109100
PBANKA_020460,PBANKA_0204600,PHIL1,"photosensitized INA-labeled protein PHIL1, putative",PF3D7_0109000
PBANKA_020470,PBANKA_0204700,,"conserved Plasmodium protein, unknown function",PF3D7_0108800
PBANKA_020480,PBANKA_0204800,PSOP24,"secreted ookinete protein, putative",PF3D7_0108700
PBANKA_020490,PBANKA_0204900,,"conserved Plasmodium protein, unknown function",PF3D7_0108600
PBANKA_020500,PBANKA_0205000,,"conserved Plasmodium protein, unknown function",PF3D7_0108500
PBANKA_020510,PBANKA_0205100,,"mitochondrial carrier protein, putative",PF3D7_0108400.1
PBANKA_020520,PBANKA_0205200,,"conserved Plasmodium protein, unknown function",PF3D7_0108300
PBANKA_020530,PBANKA_0205300,,"conserved Plasmodium protein, unknown function",PF3D7_0108100
PBANKA_020540,PBANKA_0205400,,"proteasome subunit beta type-3, putative",PF3D7_0108000
PBANKA_020550,PBANKA_0205500,,"conserved Plasmodium protein, unknown function",PF3D7_0107900
PBANKA_020560,PBANKA_0205600,MRE11,"double-strand break repair protein MRE11, putative",PF3D7_0107800
PBANKA_020570,PBANKA_0205700,,"conserved Plasmodium membrane protein, unknown function",PF3D7_0107700
PBANKA_020580,PBANKA_0205800,IK2,"serine/threonine protein kinase, putative",PF3D7_0107600
PBANKA_020590,PBANKA_0205900,,"lipid/sterol:H+ symporter, putative",PF3D7_0107500
PBANKA_020600,PBANKA_0206000,,"conserved Plasmodium protein, unknown function",PF3D7_0107400
PBANKA_020610,PBANKA_0206100,,"carbon catabolite repressor protein 4, putative",PF3D7_0107200
PBANKA_020620,PBANKA_0206200,,"conserved Plasmodium protein, unknown function",PF3D7_0107100
PBANKA_020630,PBANKA_0206300,CEN1,"centrin-1, putative",PF3D7_0107000
PBANKA_020640,PBANKA_0206400,IspD,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative",PF3D7_0106900
PBANKA_020650,PBANKA_0206500,RAB5c,"ras-related protein Rab-5C, putative",PF3D7_0106800
PBANKA_020660,PBANKA_0206600,,"asparagine and aspartate rich protein 2, putative",PF3D7_0106700
PBANKA_020670,PBANKA_0206700,,"conserved Plasmodium protein, unknown function",PF3D7_0106600
PBANKA_020680,PBANKA_0206800,,"conserved Plasmodium protein, unknown function",PF3D7_0106500
PBANKA_020690,PBANKA_0206900,,"pre-rRNA-processing protein TSR2, putative",PF3D7_0106400
PBANKA_020700,PBANKA_0207000,SERCA,"calcium-transporting ATPase, putative",PF3D7_0106300
PBANKA_020710,PBANKA_0207100,,"conserved Plasmodium protein, unknown function",PF3D7_0106200
PBANKA_020720,PBANKA_0207200,,"V-type proton ATPase subunit C, putative",PF3D7_0106100
PBANKA_020730,PBANKA_0207300,,"conserved Plasmodium protein, unknown function",PF3D7_0106000
PBANKA_020740,PBANKA_0207400,,"DNA binding protein, putative",PF3D7_0105900
PBANKA_020750,PBANKA_0207500,,"conserved Plasmodium protein, unknown function",PF3D7_0105800
PBANKA_020760,PBANKA_0207600,,"asparagine-rich antigen, putative",#N/A
PBANKA_020770,PBANKA_0207700,,"conserved Plasmodium protein, unknown function",PF3D7_0105600
PBANKA_020780,PBANKA_0207800,,"conserved Plasmodium protein, unknown function",PF3D7_0105500
PBANKA_020790,PBANKA_0207900,,"conserved Plasmodium protein, unknown function",PF3D7_0105400.1
PBANKA_020800,PBANKA_0208000,C-CAP,cyclase-associated protein,PF3D7_0105300
PBANKA_020810,PBANKA_0208100,,"RAP protein, putative",PF3D7_0105200
PBANKA_020820,PBANKA_0208200,,"conserved Plasmodium protein, unknown function",PF3D7_0105100
PBANKA_020830,PBANKA_0208300,NPT1,novel putative transporter 1,PF3D7_0104800
PBANKA_020840,PBANKA_0208400,,"transporter, putative",PF3D7_0104700
PBANKA_020850,PBANKA_0208500,,"conserved Plasmodium protein, unknown function",PF3D7_0104600
PBANKA_020860,PBANKA_0208600,,"conserved protein, unknown function",PF3D7_0104500
PBANKA_020870,PBANKA_0208700,LytB,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, putative",PF3D7_0104400
PBANKA_020880,PBANKA_0208800,UBP1,"ubiquitin carboxyl-terminal hydrolase 1, putative",PF3D7_0104300
PBANKA_020890,PBANKA_0208900,,"StAR-related lipid transfer protein, putative",PF3D7_0104200
PBANKA_020900,PBANKA_0209000,,"conserved Plasmodium protein, unknown function",PF3D7_0104100
PBANKA_020910,PBANKA_0209100,TRSP,thrombospondin related sporozoite protein,PF3D7_0104000
PBANKA_020920,PBANKA_0209200,PIESP15,parasite-infected erythrocyte surface protein,PF3D7_0103900
PBANKA_020930,PBANKA_0209300,ARP1,actin-related protein,PF3D7_0103800
PBANKA_020940,PBANKA_0209400,PSTK,"L-seryl-tRNA(Sec) kinase, putative",PF3D7_0103700
PBANKA_020950,PBANKA_0209500,,"ATP dependent RNA helicase, putative",PF3D7_0103600
PBANKA_020960,PBANKA_0209600,,"conserved Plasmodium protein, unknown function",PF3D7_0103500
PBANKA_020970,PBANKA_0209700,,"zinc-carboxypeptidase, putative",PF3D7_0103400
PBANKA_020980,PBANKA_0209800,,"conserved Plasmodium protein, unknown function",PF3D7_0103300
PBANKA_020990,PBANKA_0209900,NT4,"nucleoside transporter 4, putative",PF3D7_0103200
PBANKA_021000,PBANKA_0210000,VPS51,"vacuolar protein sorting-associated protein 51, putative",PF3D7_0103100
PBANKA_021010,PBANKA_0210100,,"vacuolar protein sorting-associated protein VTA1, putative",PF3D7_0103000
PBANKA_021020,PBANKA_0210200,,"aspartate--tRNA ligase, putative",PF3D7_0102900
PBANKA_021030,PBANKA_0210300,,"conserved Plasmodium protein, unknown function",PF3D7_0102800
PBANKA_021040,PBANKA_0210400,PMS1,"DNA mismatch repair protein PMS1, putative",PF3D7_0726300
PBANKA_021050,PBANKA_0210500,,"conserved Plasmodium protein, unknown function",PF3D7_0726400
PBANKA_021060,PBANKA_0210600,,"ubiquitin carboxyl-terminal hydrolase, putative",PF3D7_0726500
PBANKA_021070,PBANKA_0210700,,"conserved Plasmodium protein, unknown function",PF3D7_0726600
PBANKA_021080,PBANKA_0210800,,"conserved Plasmodium protein, unknown function",PF3D7_0726700
PBANKA_021090,PBANKA_0210900,DAD1,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1, putative",PF3D7_0726800
PBANKA_021100,PBANKA_0211000,TIM50,"mitochondrial import inner membrane translocase subunit TIM50, putative",PF3D7_0726900
PBANKA_021110,PBANKA_0211100,VPS53,"vacuolar protein sorting-associated protein 53, putative",PF3D7_0727000
PBANKA_021120,PBANKA_0211200,,"conserved Plasmodium protein, unknown function",PF3D7_0727100
PBANKA_021130,PBANKA_0211300,NFS,"cysteine desulfurase, putative",PF3D7_0727200
PBANKA_021140,PBANKA_0211400,DNMT,"DNA (cytosine-5)-methyltransferase, putative",PF3D7_0727300
PBANKA_021150,PBANKA_0211500,,"proteasome subunit alpha type-5, putative",PF3D7_0727400
PBANKA_021160,PBANKA_0211600,,"conserved Plasmodium protein, unknown function",PF3D7_0727500
PBANKA_021170,PBANKA_0211700,,"conserved Plasmodium protein, unknown function",PF3D7_0727600
PBANKA_021180,PBANKA_0211800,,"conserved Plasmodium protein, unknown function",PF3D7_0727700
PBANKA_021190,PBANKA_0211900,,"cation transporting ATPase, putative",PF3D7_0727800
PBANKA_021200,PBANKA_0212000,,"conserved Plasmodium protein, unknown function",PF3D7_0727900
